ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
S1PR4,AURKAIP1,GCC2,,FBXO33,CXXC5,BLVRB,ATP6AP1,H2AFJ,,C12orf57,MRPS34,CD69,BCLAF1,CAP1,CHST12,AUTS2,FAM107B,ARPC5L,STRAP,EGR1,ATP1B3,COX17,BTG3,CASP8,FUS,CLIP1,CALR,CD63,PRPF38B,SERPINB1,HNRNPL,COPE,ATXN7L3B,ARF4,ATXN2L,GTF2I,,FEM1A,CD81,FCGR3A,TEX264,RPL13,CD47,CDK2AP2,,TAF11,HNRNPK,MEX3C,MAP4,BRD3,MED10,HBP1,,PCIF1,PRMT2,,CBX3,,CEP135,H2AFZ,,ZFYVE16,CARHSP1,,ANKRD40,MAP4K4,,B4GALT1,ZNF274,POLR2J,GNPTAB,PPP1CB
SEL1L,B3GAT3,GDI1,,FBXO34,DCUN1D1,BOLA2,ATP8A1,HNRNPA2B1,,C19orf25,NDUFS5,CDS2,BIRC2,CAPZA1,CLSTN3,BAK1,FAM204A,ASAH1,SUB1,EHD4,ATXN1L,COX7C,C17orf49,CBLL1,GK5,CLPP,CAPZB,CERK,RAB27A,SRSF2,HNRNPU,COX7A2,B2M,ARF5,ATXN7L3B,GTF3A,,GADD45B,CENPC,FGFBP2,TMPO,RPLP2,CDIPT,CDV3,,TCF7,HSBP1,MPC2,N4BP2L1,C11orf58,MED17,HHEX,,PLSCR1,PUF60,,CCDC115,,CFLAR,HIRIP3,,,CASP8,,ANKRD44,MARCKSL1,,BAG6,,PSTPIP1,GOLGA7,PSMG2
SLC25A38,BCL2A1,GDI2,,FHIT,DDX39B,BRAF,ATR,KPNA3,,C1QBP,NRROS,CHMP5,BLVRA,CARD16,CNOT4,BLVRA,FRG1,ASCC2,TM2D1,EIF3H,ATXN2,CUL1,C6orf62,CBR4,HBA1,COMMD3,CASP8,CFDP1,RARS2,SUN2,IFITM3,COX7A2L,B3GAT2,ARFGEF1,AURKAIP1,HECTD1,,GNAS,CFL1,GNLY,TMX1,RPS3A,CENPC,CGGBP1,,TSPYL2,HSPE1,NAPG,NR3C1,C17orf49,MPC2,HIPK2,,PPP1R10,RAB6A,,CCDC167,,CLINT1,HMOX2,,,CCDC115,,ANP32A,MRPS21,,BANF1,,RBM3,HERC1,PTMA
SP3,BCLAF1,GLYR1,,FURIN,DIAPH1,BRD2,BAZ2A,LARP7,,CANX,NSUN6,CKS2,BRAF,CASP10,COA1,BMS1,FRY,ATP6V1F,TMEM160,EIF4A1,ATXN7,CXCR4,CALCOCO2,CBX3,HBA2,CSNK1G2,CCNC,CFL1,RASSF1,TPT1,IFNAR1,CYBA,B3GAT3,ARHGAP15,B3GAT3,HELZ,,HMGN1,CHCHD2,GTPBP1,UQCR11,RPS8,CHMP4B,CLDND1,,YWHAB,IL2RG,NBR1,NR4A3,C19orf48,MRPL22,INPP4A,,PPP1R18,RBBP5,,CCDC174,,CLPP,HNRNPUL1,,,CCDC65,,ANXA11,NAA50,,BAZ2B,,RPL35A,HEXA,RAB8B
STAU2,BDH2,GPBP1,,GNAS,DIP2A,C12orf75,BCAP31,LDHA,,CAP1,NUCB1,CNIH4,BRIX1,CAST,COMMD6,BOD1L1,GPS2,ATP6V1H,TMEM59,EIF4G2,B9D2,CYCS,CBR4,CCDC14,HIGD2A,CTBP1,CCNI,CHMP2B,RPL17,UBB,IGFBP7,DCTN3,BCAP31,ARHGAP27,BCAP31,HNRNPH3,,HNRNPA2B1,CHMP2A,H2AFY,,SKIL,COMT,CLNS1A,,,ITPA,NDUFA9,PABPC1,CAMTA1,MYADM,ITM2B,,PPP2R5C,RIPK2,,CCDC82,,CLTB,ISCA1,,,CCDC82,,ANXA2,NFKBID,,BCLAF1,,RUNX3,HNRNPH3,RNASEH2B
STK26,BEX4,HNRNPK,,GOLGA4,DMTF1,C1QBP,BCCIP,MAPK14,,CASP1,OARD1,COX20,BTN3A2,CBFB,COMMD9,BRIX1,IKZF1,ATRX,TOMM7,EVI2A,BCL11B,DAP,CCDC115,CCDC57,HINT1,CTDNEP1,CCT6A,COMTD1,RPL22,,IQSEC1,DDT,BLCAP,ARHGEF1,BLMH,HNRNPR,,IQGAP2,CHMP4B,HNRNPAB,,SLC4A7,COPS4,CLTA,,,JAK1,NOSIP,PHF3,CAPN2,NCOA4,JAK1,,RHOG,SQSTM1,,CCND3,,CMC2,ITGB7,,,CCND3,,AOAH,NME1,,BLCAP,,SLBP,JUND,RPL5
TOX,BLOC1S4,HSPA9,,GSN,DNAJC21,C7orf50,BCL7C,MED23,,CAST,PARP1,CSNK2A1,BZW2,CBLL1,COPS9,BTG1,ITGB1,ATXN2L,TRIM28,FAM162A,BCLAF1,DBF4,CCDC69,CCND3,HMGN1,CWC25,CCT7,COPS3,RPL27A,,ITM2B,DDX18,BLOC1S2,ARHGEF3,BUD31,IFNGR1,,ITSN2,CHST11,IP6K1,,SRSF5,COQ10B,CNBP,,,KIF2A,NUP107,PPP1R11,CARHSP1,NFATC2,KLC1,,RNASEH2C,SRP19,,CD55,,COA5,KAT6A,,,CD164,,AP2A2,NXT1,,C12orf75,,SLC3A2,KMT2A,SMARCA4
TRAPPC2L,BNIP2,IL32,,HNRNPH3,DOCK8,CA2,BIRC6,MTRNR2L8,,CBFB,RBMX2,CYB5R4,C12orf57,CCDC167,COX5A,CACYBP,KHDRBS1,ATXN7,UBB,FLI1,BIRC2,DDX19B,CCZ1,CCNH,HMGN3,DAP,CD63,COQ10B,RPL4,,MPHOSPH8,DDX21,BTF3,ARID1A,C11orf58,IRF2BP2,,JUNB,CIRBP,ISG15,,SSR3,CREBRF,CNOT7,,,KIR2DL3,PDCD2,PPP2R5C,CCDC167,NFKB2,KLF12,,RPS13,STAT6,,CD81,,COX16,MAT2B,,,CDADC1,,AP2B1,PEBP1,,C17orf49,,SNX17,KPNB1,TCIRG1
UXS1,BOLA2,IMP3,,HOPX,DPM3,CALM1,BOD1L1,NDUFA13,,CCDC85B,RPS19BP1,CYCS,C1D,CCDC25,CREBRF,CALM1,KLF2,AXIN1,UFC1,FNIP1,BLVRA,DDX3X,CD46,CHCHD2,HMGXB4,DDX21,CD69,CORO1A,RPLP0,,MRPL13,DENND1B,BTG3,ARID4B,C18orf32,ISG15,,MYCBP2,CLDND1,KLF3,,STX4,CRTC3,COA5,,,KLHL28,PEX2,PRNP,CCDC174,PARP8,LINC00623,,RPSA,TMEM107,,CDC42SE2,,CPNE1,MIS18BP1,,,CDK11A,,AP2M1,PIK3AP1,,C1orf174,,SPSB3,LDHB,TGOLN2
WDR33,BORCS7,ING3,,INO80D,DUS1L,CAPN15,BRD1,NME1,,CCL4,RSL24D1,DCXR,C1orf174,CCDC28B,CTDSP1,CALM2,LENG1,B4GALT1,UQCR11,FOSB,BNIP3L,DDX5,CDK11B,CHCHD5,HOXB2,DDX3Y,CDK11B,COX20,RPLP2,,MRPS24,DNM2,C12orf57,ARPC1A,C19orf25,ITCH,,MYLIP,COPZ1,LAMTOR1,,SYAP1,CSK,CREB3L2,,,LMNB1,PPP1CB,PSMD6,CCM2,PET100,LINC01578,,SIKE1,UBB,,CDK2AP2,,CTR9,MPG,,,CDK13,,AP3S1,PITPNC1,,C1orf43,,TM7SF3,LGALS1,TMC6
ZC3H15,BTF3,ITGAX,,KIAA1143,EIF3G,CAPN2,BRWD1,OSER1,,CCND2,SARAF,DDX18,C1orf56,CCDC59,DBI,CALR,LLPH,BANF1,URI1,GAS7,BSG,DEK,CDK6,CKS2,IFITM2,DNAJC1,CDK2AP2,COX6B1,RPS12,,MTCH1,EIF2A,C1QBP,ARRB2,C1QBP,KCTD20,,N4BP2L2,COX7A2L,MCOLN1,,TPT1,CTNNB1,CREM,,,MAGT1,PPP6R1,REPIN1,CCND3,PJA2,LPP,,SLA,USP15,,CDKN2C,,DAZAP2,MRPL55,,,CDK2AP2,,APBB1IP,PPP2R5C,,C6orf47,,TMEM87A,MBP,TMED9
,C12orf57,LINC01578,,KLF10,EIF3L,CAPZB,BST2,P4HB,,CCND3,SERINC1,DDX3Y,C5orf24,CCNL1,DCXR,CAPZB,LSM5,BEX4,ZBTB7A,GOLT1B,BTF3,DIDO1,CEP350,CLTB,ISCA1,DNAJC19,CHD2,CUTA,RPS2,,MTIF3,EIF2B1,CACYBP,ARSG,C1orf56,KDM5B,,NAPA,CSK,MCRS1,,XCL2,CTR9,CTBP1,,,MAPKAPK2,RNASEH1,RGS3,CCT2,PLP2,LTA4H,,SMIM20,WBP2,,CFL1,,DHPS,MRPS36,,,CENPC,,APOBEC3G,PRMT1,,CAMLG,,TMEM9B,MED15,TUBB4B
,C3orf38,LPCAT1,,LMF2,EIF4G2,CBLB,C18orf32,PRKD3,,CD247,SF3B1,DDX42,CALM1,CCT7,DDX24,CBX4,MAP3K13,BFAR,,GSN,BTG2,DNAJC1,CERS5,CMTM3,IVD,EDRF1,CHID1,CWC15,RPS27,,MYH9,EIF3L,CAMTA1,ARV1,CANX,KPNA4,,NOL11,CSNK1D,MORC3,,ZFP36,CUL3,CWC22,,,MCM3,RNASEK,RNF139,CD2,PRCP,MAFF,,SMIM4,,,CHRAC1,,DHX30,NANS,,,CFL1,,APPL1,PRPF38B,,CAPN2,,TMUB1,MFF,U2AF1
,C6orf89,MDM2,,MAFF,EIF5A,CCL4,C19orf53,PSMC1,,CD63,SF3B2,DDX5,CALR,CCT8,DENND4B,CCL5,METTL9,BLOC1S2,,GZMH,BZW1,DUSP1,CFAP20,CNIH4,JADE2,ERV3-1,CHMP1A,DCTN3,RPS29,,NDUFB7,EOMES,CARD11,ASAH1,CAPN2,MAP3K8,,NR4A1,CTBP1,PABPC1,,ZFP36L2,CXXC5,CXXC5,,,MED10,RNF125,RPGR,CD247,PRKDC,MARCH7,,SQSTM1,,,CISD3,,DHX36,NAP1L1,,,CHMP1A,,APRT,PSMA6,,CBLB,,UBE2F,MPDU1,UBB
,CABIN1,MDM4,,MAN1A1,ETF1,CD247,C1GALT1,PUM3,,CFL1,SH2D2A,DDX60,CANX,CD53,DGKZ,CCT7,MGAT1,BLOC1S6,,GZMM,C11orf58,DUSP10,CHCHD7,COA6,KDM5A,ETS1,CHMP5,DDX19B,RPS6,,NR4A1,ERBIN,CARHSP1,ASB3,CASP4,MAPK1IP1L,,PAIP1,CTR9,PAIP2,,,DAZAP1,CYB561A3,,,MIF,RNF14,RPL38,CD2BP2,RICTOR,ME2,,STAT1,,,CKLF,,DNPEP,NCOR1,,,CHMP1B,,ARAP1,PSMC3,,CCDC69,,XRN2,MTSS1,ZNF595
,CACYBP,MDP1,,MPG,EZR,CD46,CAMK1D,RBM8A,,CHCHD2,SNRPA1,DHX36,CAPG,CD7,DHX9,CD160,MNAT1,BLVRB,,HENMT1,C12orf57,DUSP2,CHD4,COMTD1,LAMTOR1,FBXO7,CHRAC1,DDX41,RPS7,,P4HTM,FAM217B,CASC4,ASCC3,CCDC167,MFF,,PCF11,CTSD,PFKP,,,DDT,DDB1,,,MITD1,RSF1,RPL7,CD59,RPL15,MEA1,,SUN2,,,CLEC2B,,DTYMK,NDFIP1,,,CHRNB1,,ARCN1,PTPN2,,CCDC82,,ZNF518A,NCOR1,
,CALM2,MED31,,MPLKIP,FAAP20,CD69,CAP1,RTN3,,CHCHD5,TAF1D,DLD,CARHSP1,CDC26,DIDO1,CD164,MOSPD3,BNIP3L,,HMGN4,C12orf75,DYNLT3,CHMP1B,COPS5,LSM14A,FOXP1,CIAO1,DGUOK,RWDD1,,PAM,GSPT1,CBX5,ATG16L2,CCDC82,MNT,,PFKP,DCAF7,PGRMC2,,,DHRS3,DDX21,,,MRPL13,SERP1,SAFB2,CD83,RPL21,METTL15,,TMSB10,,,CLNS1A,,DUSP12,NDUFB3,,,CISD3,,ARF1,RPS2,,CCDC97,,,NEU1,
,CAPN12,MGAT4A,,MRM3,FAM111A,CD81,CCDC107,SERBP1,,CISD1,TFG,DNAJC15,CASP1,CDC42SE1,DPP9,CD247,MRPS21,BOLA3,,HSP90B1,C1QBP,DYRK1A,CHMP5,COX4I1,MRPL10,FUBP1,CKLF,DNAJB9,SF3B6,,PAM16,HACD4,CCDC186,ATP1A1,CCDC88B,NAP1L1,,PIK3CD,DDOST,PIAS2,,,DIAPH1,DGKD,,,MTHFD2L,SKIL,SARAF,CEBPZOS,RPL24,METTL9,,TMUB1,,,CLSTN1,,DYNLRB1,NPM1,,,CLIC1,,ARF4,RSRC2,,CCL5,,,NFKB2,
,CCDC174,MIAT,,MSI2,FAM117A,CDC37,CCDC12,SF3B6,,CLEC2B,TMEM230,DOCK10,CASP10,CDV3,DPY30,CD47,MYADM,BRD1,,HSPB11,C9orf16,EEF1B2,CIAO1,COX5B,MTIF3,GABARAP,CKS1B,DPM1,SLC35A3,,PAPOLA,HEBP2,CCDC25,ATP1B3,CCND3,NUTM2B-AS1,,PLEKHF1,DDX21,POLR1D,,,DNAJB14,DHRS1,,,NEDD8,SLC35A4,SEC61B,CEP350,RPL36,MIER1,,TPD52,,,CLTA,,EFR3A,NUMA1,,,CLIP1,,ARF6,RUNX1,,CD164,,,NTPCR,
,CCDC57,MRPL42,,NBN,FAM204A,CEBPB,CCDC124,SLC30A5,,CLTB,TSPAN32,DPM1,CASP8,CEBPZ,DYNC1H1,CD63,NR3C1,BRD3,,ICAM2,CACYBP,EEF1G,CIR1,COX6A1,MVD,GABARAPL2,CKS2,DUT,SLC35B1,,PCMT1,HELZ2,CCDC65,ATP2A2,CD164,PDCD4,,PRNP,DEK,PPP4R3A,,,DNAJC1,DHX30,,,NFAT5,SON,SNHG5,CERS2,RPS19BP1,MSL2,,TSC22D3,,,CNOT2,,EFTUD2,OCIAD1,,,CMTM6,,ARHGAP26,SMARCA5,,CD247,,,PCID2,
,CCDC69,NFATC3,,NEDD1,FAM8A1,CGRRF1,CCDC92,SNTB2,,CLTC,TUBA1A,DUSP1,CBLB,CFL1,DYNLRB1,CDC25B,PABPN1,BRD7,,IFITM1,CAMTA1,EGR1,CMAS,COX7B,MYO1F,GATA3,CLSTN3,ECH1,SNHG25,,PFKP,HNRNPA2B1,CCL4,ATP6V0B,CD58,PEX2,,RAB5A,DGKZ,RAB2A,,,DNAJC21,DNAJB6,,,NFYC,ST3GAL1,SNHG8,CFL1,RPS25,NDE1,,UQCR10,,,COG3,,EIF2S2,ORMDL2,,,COA5,,ARHGDIA,SNU13,,CDC123,,,PDCD6IP,
,CCDC85B,NUP98,,NFKBIA,FDFT1,CHD1,CCND2,SRRM2,,CMTR2,ZFAND2B,EEF1G,CCDC59,CFLAR,EFHD2,CDIPT,PHAX,BTN3A2,,IL18RAP,CANX,EIF1,CNIH4,COX8A,N4BP2L1,GLRX5,COPE,EEF1D,SNX14,,PIK3CA,HSP90AA1,CCL5,ATP6V1E1,CD63,PPP1R15A,,RBBP7,DUSP1,RAPGEF6,,,DNM1L,DNAJC21,,,NSA2,SYTL1,SNRK,CHCHD2,RPS27,NIFK,,,,,COMT,,EIF3D,PARP14,,,COMMD3,,ARHGEF1,SRSF1,,CDK13,,,PDLIM1,
,CCL28,OCIAD1,,NONO,FGD3,CHD4,CCNT1,STX11,,CNIH4,,EGR1,CCDC97,CHD4,EIF3B,CDK2AP2,PRKCSH,C12orf75,,IMP4,CAP1,EIF4G2,COPS3,CRBN,NCOA7,GMCL1,COPS5,EGR1,SRSF5,,PPM1K,ID1,CCNH,ATRX,CDC37,PRRC2C,,REST,EIF2A,RGS19,,,DPP9,DNPEP,,,PCNA,THOC2,SPG21,CHMP2B,RPS27A,NIPBL,,,,,COX8A,,EIF3H,PCM1,,,COX17,,ARHGEF3,TAP1,,CDK6,,,PIGT,
,CCL4,PBXIP1,,NR1D2,FGD5-AS1,CHTOP,CCS,SUGT1,,COPE,,EIF4E,CCL3,CHMP2A,EIF3K,CGGBP1,PRSS57,C19orf25,,IRF2,CASC4,EIF5,COX5B,CRIPT,NCOR1,GNL3L,COTL1,EIF1AX,TAX1BP1,,PRKACB,IFITM1,CCNL1,ATXN2,CDC42EP3,PSMG2,,RNASEK,EIF2AK1,RPS19,,,DR1,DUSP23,,,PKN1,TOX,SSBP1,CISD3,S1PR4,NMT2,,,,,CPD,,EIF3L,PDCD10,,,COX6B1,,ARID1B,TEX264,,CDV3,,,PIM3,
,CCNH,PDE4A,,PCNX4,FOXN3,CIRBP,CD226,TCF25,,COPZ1,,EIF5,CCL5,CHMP3,ELK4,CHD1,PSMB4,CALCOCO2,,ISG15,CAT,EMC10,COX7A2,CSTB,NDUFS6,GSE1,COX4I1,EIF1AY,TMEM126B,,PRKAR1A,IFT20,CCT5,B2M,CFL1,PTP4A2,,RNF139,EIF3D,RPS27L,,,DUT,EIF2S3,,,PRPF19,UFM1,SSR4,CNIH4,SRRM2,NR4A2,,,,,CXXC5,,EIF4E,PDCD5,,,COX7A2,,ARID5A,TIMM13,,CELF2,,,POLD2,
,CCNI,PER1,,PEX2,FXYD5,CLK1,CD247,TNKS2,,CORO1A,,ELF2,CCNDBP1,CHST2,EML3,CHID1,PTPRA,CALR,,KIR3DL2,CCL4,ENO1,COX7B,CTDNEP1,NEAT1,HNRNPR,CSNK1A1,EIF1B,TOX4,,PSMD12,IL10RB,CD2BP2,B3GAT2,CFLAR,RAP1B,,RNF168,EIF3H,SERF2,,,ECHDC1,EIF3E,,,PRPF4B,VPS4B,TBCA,CNOT2,TBCC,NSRP1,,,,,CYB5B,,EMC7,PDIA4,,,COX8A,,ARL1,TMA7,,CFLAR,,,POMP,
,CCNL1,PGRMC2,,PIK3CA,GABPB1-AS1,CMTM6,CD2AP,TOMM6,,COX5B,,EMB,CCNI,CISD1,ERCC1,CHST12,RBM27,CARS,,KLRG1,CCNG1,ENTPD4,COX8A,CYB561A3,NFE2L2,HPS1,CTR9,EIF6,TTC19,,PTPN2,IL2RG,CD37,B3GNT2,CHERP,RNF13,,S1PR5,EIF3M,SFT2D2,,,EFCAB14,EIF6,,,PSENEN,VTI1B,TPR,CNPY2,TESC,NSUN6,,,,,CYTH2,,EP400,PET100,,,CSDE1,,ARL16,TRIM14,,CHMP2B,,,PSMB10,
,CCNT1,PHLDA1,,PLEKHO1,GADD45A,COPS3,CD55,TYK2,,COX7A2,,ERBIN,CCNL1,CISD2,ESYT1,CKS1B,RHOT2,CCAR2,,LBH,CCNH,EPS8,CREB3L2,DBI,NUCKS1,IKZF1,CWC25,ELAVL1,UFC1,,QKI,IRF7,CD44,B4GALT4,CLTB,RNF187,,SECISBP2,ENO1,SLTM,,,EIF2AK1,EPB41,,,PSMA6,WTAP,ZCCHC17,COMMD3,TOPORS,NUCKS1,,,,,CYTH4,,ERICH1,PLAC8,,,CST3,,ARL2BP,TRMT112,,CKS2,,,PTGDR,
,CD160,PPDPF,,PMS2,GDI2,CPSF7,CD8A,UBB,,COX7A2L,,ERGIC1,CCT6A,CNIH4,EXOSC9,CKS2,RNF145,CCDC124,,LIME1,CCNI,ERGIC2,CREBRF,DDB2,NUMA1,IL18R1,DAD1,ELF2,UFM1,,RER1,ISG15,CD48,B9D2,CMTM6,RORA,,SHISA5,ERBIN,SNRNP27,,,EIF2S2,EVL,,,PTP4A2,XRN1,ZNF207,COX7B,UBE4B,NUFIP2,,,,,DBNDD2,,FAM177A1,POLR2E,,,CYBA,,ARL4C,TSNAX,,CLINT1,,,RAD23A,
,CD164,PPP3CA,,PMVK,GGA1,CREM,CDC123,USE1,,COX7B,,EXOC1,CD63,COMMD3,FAM107B,CLIC1,RNMT,CCDC97,,LINC00861,CCNL1,FCER1G,CRIP1,DDT,PDIA4,ISOC2,DBF4,EMP3,WNK1,,RGCC,ISG20,CD53,BABAM1,COA1,SH3GLB1,,SHKBP1,ERICH1,SSBP4,,,EIF3H,EXOC7,,,RAB11B,ZFPL1,ZNF652,CSNK2A1,UBL5,ORAI2,,,,,DCAF13,,FAM217B,POLR2M,,,DAAM1,,ARPC1B,U2AF2,,CLNS1A,,,RAD9A,
,CD2BP2,PRDM2,,PPP4R2,GPS2,CSNK1G2,CDC42EP3,USP3,,COX7C,,FAM32A,CD81,COMMD4,FCRL6,CLIP1,RPL27,CCND3,,LMO4,CD164,FGR,CTNNBIP1,DDX39A,PER1,ITM2B,DDIT3,ETS1,,,SF3B6,JAK1,CD63,BAG6,COMMD5,SLMAP,,SLC38A1,ERP29,SSR3,,,EIF3L,FPGS,,,RAB29,ZNF207,ZNF821,CST7,UQCR11,PCGF5,,,,,DCP2,,FIP1L1,PPP2R5C,,,DDX3X,,ARPC2,UQCRH,,CLPTM1,,,RASSF4,
,CD44,RAB11B,,RAB5A,GRB2,CST7,CDK13,ZFAND6,,COX8A,,FKBP2,CD96,COQ10B,GADD45B,CMC1,RPS26,CCT6A,,LYZ,CD63,FOS,CTSO,DDX50,PLAC8,JOSD2,DDIT4,EXOSC6,,,SPOP,LAMTOR3,CD69,BBC3,COX4I1,SMAD2,,SMAD7,ESYT2,STAG1,,,ELOF1,GABPB1-AS1,,,RNF115,,ZRANB2,CSTB,XBP1,PCMTD1,,,,,DCTN2,,FOXP1,PPP3CB,,,DDX5,,ARPC3,VMA21,,CLTA,,,RCC2,
,CDC123,RAB2A,,RBM18,GSN,CSTF2T,CDKN2D,ZNF394,,CRIP1,,FLI1,CDC25B,COX5A,GAS5,CMSS1,RSL1D1,CCZ1,,MAP3K2,CD69,FOSB,CXXC1,DECR1,POLM,JUND,DDT,FBXO33,,,SPPL3,LDHA,CDK11B,BBX,CSNK1G2,SNHG5,,SMG1,ETS1,SYF2,,,EML3,GNAI3,,,RNF19A,,,CTDSP1,XRCC5,PDCD10,,,,,DCUN1D5,,FUNDC2,PRH1,,,DHPS,,ARRDC2,YIPF6,,CLTB,,,REL,
,CDC40,RAB7A,,RBM27,HERC1,CTSS,CEBPB,ZNF451,,CSRP1,,FOS,CEBPZ,COX6A1,GCH1,CNOT4,S100A9,CD164,,MDM4,CDC42,GADD45B,CYHR1,DGCR6L,POLR2F,KIAA0355,DDX17,FBXO7,,,SPSB3,LSP1,CDYL,BCAP31,CSRNP1,SSR3,,SNX13,EZR,SYNCRIP,,,EPM2AIP1,GPAA1,,,ROMO1,,,CTPS1,ZC3HAV1,PDE4D,,,,,DDB2,,GCH1,PRKAR1A,,,DNAJC1,,ASXL1,ZBTB11,,CMC2,,,RSL1D1,
,CDC5L,RAE1,,RBMX,HMGXB4,CXCR4,CEBPD,ZNF622,,DDIT3,,FOSB,CENPT,COX6C,GCHFR,COMMD7,SAR1A,CD247,,MRPL33,CEP350,GAPVD1,CYLD,DHRS7B,PPP6C,KMT2A,DDX39A,FBXW5,,,STX8,LY6E,CEP350,BFAR,CTBP1,STAU2,,SSH2,FAM32A,TAF9,,,ERP44,GPATCH2L,,,RTN3,,,CTSD,,PDE7A,,,,,DDX39B,,GDI2,PSMC1,,,DNAJC10,,ATAD2B,ZFP36,,CNP,,,RSL24D1,
,CELF1,RBBP4,,RIF1,HPCAL1,CYB5A,CENPT,ZNF880,,DDOST,,GABARAPL1,CERK,COX7B,GLTP,COPS5,SF3A1,CD44,,MRPS28,CFAP20,GAS5,DBI,DNAJB6,PRKAG1,KMT2C,DDX3X,FLT3LG,,,TACC1,MAFF,CFAP20,BIN1,CTDNEP1,TBK1,,STARD3NL,FCER1G,TAZ,,,EVL,GPR65,,,SERBP1,,,CUTA,,PDGFD,,,,,DDX3X,,GOLIM4,PSMD1,,,DTD1,,ATG4B,ZNF75A,,COA5,,,SLC38A1,
,CFAP20,REL,,RNF187,IDH3B,CYBA,CERS2,,,DDX21,,GLO1,CFAP20,COX7C,GMFG,CORO1A,SFT2D1,CDK12,,NDUFA12,CFAP97,GLUL,DCAF7,DNPEP,PRKCH,LAIR1,DEK,FOXP1,,,TMEM181,MAP3K8,CFLAR,BIRC2,CTNNB1,TOB1,,STX17,FERMT3,TBC1D10A,,,FAM192A,GSN,,,SERP1,,,CWF19L2,,PIK3R1,,,,,DEK,,HCG18,RAD23A,,,DUS1L,,ATP1A1,,,COG3,,,SLC5A3,
,CFL1,RLIM,,RNF34,IQGAP1,DENND3,CGGBP1,,,DHRS7,,GLTP,CHD1,CREM,GPBP1,COTL1,SH2D2A,CDKN2D,,NKAP,CHCHD2,GOLGA4,DDIT3,DPM1,PRPF40A,LAS1L,DHRS1,GABARAP,,,TOMM40,MAPK1IP1L,CHCHD2,BLOC1S4,CXXC5,TOX,,TAGAP,FOXP1,TBCC,,,FASLG,GTF2A2,,,SETX,,,CXXC1,,PIP4K2A,,,,,DERL1,,HDAC2,RBBP7,,,EBPL,,ATP6V0B,,,COMMD6,,,SMAP1,
,CGRRF1,RNF19A,,RNF44,ITGAM,DGUOK,CHD9,,,DHX36,,GNL3,CHD9,CUL3,GTF2B,COX7A2,SLC4A7,CEBPD,,NRBP1,CHMP1B,GPR82,DDX21,DTYMK,PSAP,LBH,DNAJB6,GAPDH,,,TRIAP1,MBNL1,CHD4,BNIP3L,DBI,TRAM1,,TAOK3,FRG1,TMF1,,,FBXW7,GTF2I,,,SF3B6,,,CYTIP,,PLEKHF2,,,,,DHRS1,,HIGD1A,RCN2,,,ECH1,,ATP6V0C,,,COPE,,,SMS,
,CHCHD2,SLC25A37,,SDCBP,JAK1,DHRS1,CHID1,,,DLST,,GOLGA3,CHMP2A,CUTA,GTF2I,COX7B,SLU7,CFAP97,,NUCB1,CHMP6,GSPT1,DDX5,DYNC1LI1,PSMA4,LENG8,DPP9,GID8,,,TSPOAP1,MDH1,CHMP1B,BOD1L1,DDT,UBB,,TMUB2,FTH1,TOR3A,,,FDX1,GTPBP4,,,SLC25A38,,,DBI,,PLEKHO1,,,,,DIAPH1,,IER3IP1,RHOF,,,EHD1,,ATP6V0E1,,,COQ10B,,,SNRPC,
,CHORDC1,SLFN5,,SELL,JUND,DHX15,CHMP1A,,,DNAJC19,,GPAA1,CHMP4A,CYC1,HERC1,CRELD2,SMAD7,CFDP1,,ORAI1,CLIP1,GTF2A2,DDX50,ECH1,PSMB1,LLPH,DTYMK,GIMAP1,,,TTC38,MRPL57,CLEC11A,BRAF,DNAJB6,WBP2,,TNIP1,FYN,TPI1,,,FPGS,HCLS1,,,SNRPB2,,,DDB2,,PLSCR1,,,,,DNAJB1,,IKBKG,RNF11,,,EID1,,ATP6V0E2,,,COX20,,,SNX3,
