ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
TOX,HSPA9,DNAJC21,C7orf50,BCL7C,,,MED23,,,CAST,PARP1,BZW2,CBLL1,COPS9,BTG1,ITGB1,ATXN2L,TRIM28,FAM162A,CCDC69,CCND3,HMGN1,CWC25,VDAC3,CCT7,COPS3,RPL27A,,ITM2B,DDX18,SAP30BP,,IP6K1,COQ10B,,CNBP,,STXBP2,KIF2A,NUP107,CARHSP1,NFATC2,,,,RNASEH2C,,SRP19,,CD55,,COA5,KAT6A,,,,CD164,,AP2A2,NXT1,C12orf75,,SLC3A2,KMT2A,SMARCA4
TRAPPC2L,IL32,DOCK8,CA2,BIRC6,,,MTRNR2L8,,,CBFB,RBMX2,C12orf57,CCDC167,COX5A,CACYBP,KHDRBS1,ATXN7,UBB,FLI1,CCZ1,CCNH,HMGN3,DAP,WDR45B,CD63,COQ10B,RPL4,,MPHOSPH8,DDX21,SMARCA4,,ISG15,CREBRF,,CNOT7,,TMEM259,KIR2DL3,PDCD2,CCDC167,NFKB2,,,,RPS13,,STAT6,,CD81,,COX16,MAT2B,,,,CDADC1,,AP2B1,PEBP1,C17orf49,,SNX17,KPNB1,TCIRG1
UXS1,IMP3,DPM3,CALM1,BOD1L1,,,NDUFA13,,,CCDC85B,RPS19BP1,C1D,CCDC25,CREBRF,CALM1,KLF2,AXIN1,UFC1,FNIP1,CD46,CHCHD2,HMGXB4,DDX21,ZC3H12A,CD69,CORO1A,RPLP0,,MRPL13,DENND1B,SMC2,,KLF3,CRTC3,,COA5,,TOP2B,KLHL28,PEX2,CCDC174,PARP8,,,,RPSA,,TMEM107,,CDC42SE2,,CPNE1,MIS18BP1,,,,CDK11A,,AP2M1,PIK3AP1,C1orf174,,SPSB3,LDHB,TGOLN2
WDR33,ING3,DUS1L,CAPN15,BRD1,,,NME1,,,CCL4,RSL24D1,C1orf174,CCDC28B,CTDSP1,CALM2,LENG1,B4GALT1,UQCR11,FOSB,CDK11B,CHCHD5,HOXB2,DDX3Y,,CDK11B,COX20,RPLP2,,MRPS24,DNM2,TM9SF2,,LAMTOR1,CSK,,CREB3L2,,TRAF3IP3,LMNB1,PPP1CB,CCM2,PET100,,,,SIKE1,,UBB,,CDK2AP2,,CTR9,MPG,,,,CDK13,,AP3S1,PITPNC1,C1orf43,,TM7SF3,LGALS1,TMC6
ZC3H15,ITGAX,EIF3G,CAPN2,BRWD1,,,OSER1,,,CCND2,SARAF,C1orf56,CCDC59,DBI,CALR,LLPH,BANF1,URI1,GAS7,CDK6,CKS2,IFITM2,DNAJC1,,CDK2AP2,COX6B1,RPS12,,MTCH1,EIF2A,TMEM14B,,MCOLN1,CTNNB1,,CREM,,TTC14,MAGT1,PPP6R1,CCND3,PJA2,,,,SLA,,USP15,,CDKN2C,,DAZAP2,MRPL55,,,,CDK2AP2,,APBB1IP,PPP2R5C,C6orf47,,TMEM87A,MBP,TMED9
,LINC01578,EIF3L,CAPZB,BST2,,,P4HB,,,CCND3,SERINC1,C5orf24,CCNL1,DCXR,CAPZB,LSM5,BEX4,ZBTB7A,GOLT1B,CEP350,CLTB,ISCA1,DNAJC19,,CHD2,CUTA,RPS2,,MTIF3,EIF2B1,TRIM28,,MCRS1,CTR9,,CTBP1,,ZBTB7A,MAPKAPK2,RNASEH1,CCT2,PLP2,,,,SMIM20,,WBP2,,CFL1,,DHPS,MRPS36,,,,CENPC,,APOBEC3G,PRMT1,CAMLG,,TMEM9B,MED15,TUBB4B
,LPCAT1,EIF4G2,CBLB,C18orf32,,,PRKD3,,,CD247,SF3B1,CALM1,CCT7,DDX24,CBX4,MAP3K13,BFAR,,GSN,CERS5,CMTM3,IVD,EDRF1,,CHID1,CWC15,RPS27,,MYH9,EIF3L,TRIM39,,MORC3,CUL3,,CWC22,,ZNF511,MCM3,RNASEK,CD2,PRCP,,,,SMIM4,,,,CHRAC1,,DHX30,NANS,,,,CFL1,,APPL1,PRPF38B,CAPN2,,TMUB1,MFF,U2AF1
,MDM2,EIF5A,CCL4,C19orf53,,,PSMC1,,,CD63,SF3B2,CALR,CCT8,DENND4B,CCL5,METTL9,BLOC1S2,,GZMH,CFAP20,CNIH4,JADE2,ERV3-1,,CHMP1A,DCTN3,RPS29,,NDUFB7,EOMES,TRMT10C,,PABPC1,CXXC5,,CXXC5,,ZNF706,MED10,RNF125,CD247,PRKDC,,,,SQSTM1,,,,CISD3,,DHX36,NAP1L1,,,,CHMP1A,,APRT,PSMA6,CBLB,,UBE2F,MPDU1,UBB
,MDM4,ETF1,CD247,C1GALT1,,,PUM3,,,CFL1,SH2D2A,CANX,CD53,DGKZ,CCT7,MGAT1,BLOC1S6,,GZMM,CHCHD7,COA6,KDM5A,ETS1,,CHMP5,DDX19B,RPS6,,NR4A1,ERBIN,UBE2E3,,PAIP2,DAZAP1,,CYB561A3,,,MIF,RNF14,CD2BP2,RICTOR,,,,STAT1,,,,CKLF,,DNPEP,NCOR1,,,,CHMP1B,,ARAP1,PSMC3,CCDC69,,XRN2,MTSS1,ZNF595
,MDP1,EZR,CD46,CAMK1D,,,RBM8A,,,CHCHD2,SNRPA1,CAPG,CD7,DHX9,CD160,MNAT1,BLVRB,,HENMT1,CHD4,COMTD1,LAMTOR1,FBXO7,,CHRAC1,DDX41,RPS7,,P4HTM,FAM217B,VDAC1,,PFKP,DDT,,DDB1,,,MITD1,RSF1,CD59,RPL15,,,,SUN2,,,,CLEC2B,,DTYMK,NDFIP1,,,,CHRNB1,,ARCN1,PTPN2,CCDC82,,ZNF518A,NCOR1,
,MED31,FAAP20,CD69,CAP1,,,RTN3,,,CHCHD5,TAF1D,CARHSP1,CDC26,DIDO1,CD164,MOSPD3,BNIP3L,,HMGN4,CHMP1B,COPS5,LSM14A,FOXP1,,CIAO1,DGUOK,RWDD1,,PAM,GSPT1,WAC,,PGRMC2,DHRS3,,DDX21,,,MRPL13,SERP1,CD83,RPL21,,,,TMSB10,,,,CLNS1A,,DUSP12,NDUFB3,,,,CISD3,,ARF1,RPS2,CCDC97,,,NEU1,
,MGAT4A,FAM111A,CD81,CCDC107,,,SERBP1,,,CISD1,TFG,CASP1,CDC42SE1,DPP9,CD247,MRPS21,BOLA3,,HSP90B1,CHMP5,COX4I1,MRPL10,FUBP1,,CKLF,DNAJB9,SF3B6,,PAM16,HACD4,WIPI2,,PIAS2,DIAPH1,,DGKD,,,MTHFD2L,SKIL,CEBPZOS,RPL24,,,,TMUB1,,,,CLSTN1,,DYNLRB1,NPM1,,,,CLIC1,,ARF4,RSRC2,CCL5,,,NFKB2,
,MIAT,FAM117A,CDC37,CCDC12,,,SF3B6,,,CLEC2B,TMEM230,CASP10,CDV3,DPY30,CD47,MYADM,BRD1,,HSPB11,CIAO1,COX5B,MTIF3,GABARAP,,CKS1B,DPM1,SLC35A3,,PAPOLA,HEBP2,WSB1,,POLR1D,DNAJB14,,DHRS1,,,NEDD8,SLC35A4,CEP350,RPL36,,,,TPD52,,,,CLTA,,EFR3A,NUMA1,,,,CLIP1,,ARF6,RUNX1,CD164,,,NTPCR,
,MRPL42,FAM204A,CEBPB,CCDC124,,,SLC30A5,,,CLTB,TSPAN32,CASP8,CEBPZ,DYNC1H1,CD63,NR3C1,BRD3,,ICAM2,CIR1,COX6A1,MVD,GABARAPL2,,CKS2,DUT,SLC35B1,,PCMT1,HELZ2,ZNF410,,PPP4R3A,DNAJC1,,DHX30,,,NFAT5,SON,CERS2,RPS19BP1,,,,TSC22D3,,,,CNOT2,,EFTUD2,OCIAD1,,,,CMTM6,,ARHGAP26,SMARCA5,CD247,,,PCID2,
,NFATC3,FAM8A1,CGRRF1,CCDC92,,,SNTB2,,,CLTC,TUBA1A,CBLB,CFL1,DYNLRB1,CDC25B,PABPN1,BRD7,,IFITM1,CMAS,COX7B,MYO1F,GATA3,,CLSTN3,ECH1,SNHG25,,PFKP,HNRNPA2B1,,,RAB2A,DNAJC21,,DNAJB6,,,NFYC,ST3GAL1,CFL1,RPS25,,,,UQCR10,,,,COG3,,EIF2S2,ORMDL2,,,,COA5,,ARHGDIA,SNU13,CDC123,,,PDCD6IP,
,NUP98,FDFT1,CHD1,CCND2,,,SRRM2,,,CMTR2,ZFAND2B,CCDC59,CFLAR,EFHD2,CDIPT,PHAX,BTN3A2,,IL18RAP,CNIH4,COX8A,N4BP2L1,GLRX5,,COPE,EEF1D,SNX14,,PIK3CA,HSP90AA1,,,RAPGEF6,DNM1L,,DNAJC21,,,NSA2,SYTL1,CHCHD2,RPS27,,,,,,,,COMT,,EIF3D,PARP14,,,,COMMD3,,ARHGEF1,SRSF1,CDK13,,,PDLIM1,
,OCIAD1,FGD3,CHD4,CCNT1,,,STX11,,,CNIH4,,CCDC97,CHD4,EIF3B,CDK2AP2,PRKCSH,C12orf75,,IMP4,COPS3,CRBN,NCOA7,GMCL1,,COPS5,EGR1,SRSF5,,PPM1K,ID1,,,RGS19,DPP9,,DNPEP,,,PCNA,THOC2,CHMP2B,RPS27A,,,,,,,,COX8A,,EIF3H,PCM1,,,,COX17,,ARHGEF3,TAP1,CDK6,,,PIGT,
,PBXIP1,FGD5-AS1,CHTOP,CCS,,,SUGT1,,,COPE,,CCL3,CHMP2A,EIF3K,CGGBP1,PRSS57,C19orf25,,IRF2,COX5B,CRIPT,NCOR1,GNL3L,,COTL1,EIF1AX,TAX1BP1,,PRKACB,IFITM1,,,RPS19,DR1,,DUSP23,,,PKN1,TOX,CISD3,S1PR4,,,,,,,,CPD,,EIF3L,PDCD10,,,,COX6B1,,ARID1B,TEX264,CDV3,,,PIM3,
,PDE4A,FOXN3,CIRBP,CD226,,,TCF25,,,COPZ1,,CCL5,CHMP3,ELK4,CHD1,PSMB4,CALCOCO2,,ISG15,COX7A2,CSTB,NDUFS6,GSE1,,COX4I1,EIF1AY,TMEM126B,,PRKAR1A,IFT20,,,RPS27L,DUT,,EIF2S3,,,PRPF19,UFM1,CNIH4,SRRM2,,,,,,,,CXXC5,,EIF4E,PDCD5,,,,COX7A2,,ARID5A,TIMM13,CELF2,,,POLD2,
,PER1,FXYD5,CLK1,CD247,,,TNKS2,,,CORO1A,,CCNDBP1,CHST2,EML3,CHID1,PTPRA,CALR,,KIR3DL2,COX7B,CTDNEP1,NEAT1,HNRNPR,,CSNK1A1,EIF1B,TOX4,,PSMD12,IL10RB,,,SERF2,ECHDC1,,EIF3E,,,PRPF4B,VPS4B,CNOT2,TBCC,,,,,,,,CYB5B,,EMC7,PDIA4,,,,COX8A,,ARL1,TMA7,CFLAR,,,POMP,
,PGRMC2,GABPB1-AS1,CMTM6,CD2AP,,,TOMM6,,,COX5B,,CCNI,CISD1,ERCC1,CHST12,RBM27,CARS,,KLRG1,COX8A,CYB561A3,NFE2L2,HPS1,,CTR9,EIF6,TTC19,,PTPN2,IL2RG,,,SFT2D2,EFCAB14,,EIF6,,,PSENEN,VTI1B,CNPY2,TESC,,,,,,,,CYTH2,,EP400,PET100,,,,CSDE1,,ARL16,TRIM14,CHMP2B,,,PSMB10,
,PHLDA1,GADD45A,COPS3,CD55,,,TYK2,,,COX7A2,,CCNL1,CISD2,ESYT1,CKS1B,RHOT2,CCAR2,,LBH,CREB3L2,DBI,NUCKS1,IKZF1,,CWC25,ELAVL1,UFC1,,QKI,IRF7,,,SLTM,EIF2AK1,,EPB41,,,PSMA6,WTAP,COMMD3,TOPORS,,,,,,,,CYTH4,,ERICH1,PLAC8,,,,CST3,,ARL2BP,TRMT112,CKS2,,,PTGDR,
,PPDPF,GDI2,CPSF7,CD8A,,,UBB,,,COX7A2L,,CCT6A,CNIH4,EXOSC9,CKS2,RNF145,CCDC124,,LIME1,CREBRF,DDB2,NUMA1,IL18R1,,DAD1,ELF2,UFM1,,RER1,ISG15,,,SNRNP27,EIF2S2,,EVL,,,PTP4A2,XRN1,COX7B,UBE4B,,,,,,,,DBNDD2,,FAM177A1,POLR2E,,,,CYBA,,ARL4C,TSNAX,CLINT1,,,RAD23A,
,PPP3CA,GGA1,CREM,CDC123,,,USE1,,,COX7B,,CD63,COMMD3,FAM107B,CLIC1,RNMT,CCDC97,,LINC00861,CRIP1,DDT,PDIA4,ISOC2,,DBF4,EMP3,WNK1,,RGCC,ISG20,,,SSBP4,EIF3H,,EXOC7,,,RAB11B,ZFPL1,CSNK2A1,UBL5,,,,,,,,DCAF13,,FAM217B,POLR2M,,,,DAAM1,,ARPC1B,U2AF2,CLNS1A,,,RAD9A,
,PRDM2,GPS2,CSNK1G2,CDC42EP3,,,USP3,,,COX7C,,CD81,COMMD4,FCRL6,CLIP1,RPL27,CCND3,,LMO4,CTNNBIP1,DDX39A,PER1,ITM2B,,DDIT3,ETS1,,,SF3B6,JAK1,,,SSR3,EIF3L,,FPGS,,,RAB29,ZNF207,CST7,UQCR11,,,,,,,,DCP2,,FIP1L1,PPP2R5C,,,,DDX3X,,ARPC2,UQCRH,CLPTM1,,,RASSF4,
,RAB11B,GRB2,CST7,CDK13,,,ZFAND6,,,COX8A,,CD96,COQ10B,GADD45B,CMC1,RPS26,CCT6A,,LYZ,CTSO,DDX50,PLAC8,JOSD2,,DDIT4,EXOSC6,,,SPOP,LAMTOR3,,,STAG1,ELOF1,,GABPB1-AS1,,,RNF115,,CSTB,XBP1,,,,,,,,DCTN2,,FOXP1,PPP3CB,,,,DDX5,,ARPC3,VMA21,CLTA,,,RCC2,
,RAB2A,GSN,CSTF2T,CDKN2D,,,ZNF394,,,CRIP1,,CDC25B,COX5A,GAS5,CMSS1,RSL1D1,CCZ1,,MAP3K2,CXXC1,DECR1,POLM,JUND,,DDT,FBXO33,,,SPPL3,LDHA,,,SYF2,EML3,,GNAI3,,,RNF19A,,CTDSP1,XRCC5,,,,,,,,DCUN1D5,,FUNDC2,PRH1,,,,DHPS,,ARRDC2,YIPF6,CLTB,,,REL,
,RAB7A,HERC1,CTSS,CEBPB,,,ZNF451,,,CSRP1,,CEBPZ,COX6A1,GCH1,CNOT4,S100A9,CD164,,MDM4,CYHR1,DGCR6L,POLR2F,KIAA0355,,DDX17,FBXO7,,,SPSB3,LSP1,,,SYNCRIP,EPM2AIP1,,GPAA1,,,ROMO1,,CTPS1,ZC3HAV1,,,,,,,,DDB2,,GCH1,PRKAR1A,,,,DNAJC1,,ASXL1,ZBTB11,CMC2,,,RSL1D1,
,RAE1,HMGXB4,CXCR4,CEBPD,,,ZNF622,,,DDIT3,,CENPT,COX6C,GCHFR,COMMD7,SAR1A,CD247,,MRPL33,CYLD,DHRS7B,PPP6C,KMT2A,,DDX39A,FBXW5,,,STX8,LY6E,,,TAF9,ERP44,,GPATCH2L,,,RTN3,,CTSD,,,,,,,,,DDX39B,,GDI2,PSMC1,,,,DNAJC10,,ATAD2B,ZFP36,CNP,,,RSL24D1,
,RBBP4,HPCAL1,CYB5A,CENPT,,,ZNF880,,,DDOST,,CERK,COX7B,GLTP,COPS5,SF3A1,CD44,,MRPS28,DBI,DNAJB6,PRKAG1,KMT2C,,DDX3X,FLT3LG,,,TACC1,MAFF,,,TAZ,EVL,,GPR65,,,SERBP1,,CUTA,,,,,,,,,DDX3X,,GOLIM4,PSMD1,,,,DTD1,,ATG4B,ZNF75A,COA5,,,SLC38A1,
,REL,IDH3B,CYBA,CERS2,,,,,,DDX21,,CFAP20,COX7C,GMFG,CORO1A,SFT2D1,CDK12,,NDUFA12,DCAF7,DNPEP,PRKCH,LAIR1,,DEK,FOXP1,,,TMEM181,MAP3K8,,,TBC1D10A,FAM192A,,GSN,,,SERP1,,CWF19L2,,,,,,,,,DEK,,HCG18,RAD23A,,,,DUS1L,,ATP1A1,,COG3,,,SLC5A3,
,RLIM,IQGAP1,DENND3,CGGBP1,,,,,,DHRS7,,CHD1,CREM,GPBP1,COTL1,SH2D2A,CDKN2D,,NKAP,DDIT3,DPM1,PRPF40A,LAS1L,,DHRS1,GABARAP,,,TOMM40,MAPK1IP1L,,,TBCC,FASLG,,GTF2A2,,,SETX,,CXXC1,,,,,,,,,DERL1,,HDAC2,RBBP7,,,,EBPL,,ATP6V0B,,COMMD6,,,SMAP1,
,RNF19A,ITGAM,DGUOK,CHD9,,,,,,DHX36,,CHD9,CUL3,GTF2B,COX7A2,SLC4A7,CEBPD,,NRBP1,DDX21,DTYMK,PSAP,LBH,,DNAJB6,GAPDH,,,TRIAP1,MBNL1,,,TMF1,FBXW7,,GTF2I,,,SF3B6,,CYTIP,,,,,,,,,DHRS1,,HIGD1A,RCN2,,,,ECH1,,ATP6V0C,,COPE,,,SMS,
,SLC25A37,JAK1,DHRS1,CHID1,,,,,,DLST,,CHMP2A,CUTA,GTF2I,COX7B,SLU7,CFAP97,,NUCB1,DDX5,DYNC1LI1,PSMA4,LENG8,,DPP9,GID8,,,TSPOAP1,MDH1,,,TOR3A,FDX1,,GTPBP4,,,SLC25A38,,DBI,,,,,,,,,DIAPH1,,IER3IP1,RHOF,,,,EHD1,,ATP6V0E1,,COQ10B,,,SNRPC,
,SLFN5,JUND,DHX15,CHMP1A,,,,,,DNAJC19,,CHMP4A,CYC1,HERC1,CRELD2,SMAD7,CFDP1,,ORAI1,DDX50,ECH1,PSMB1,LLPH,,DTYMK,GIMAP1,,,TTC38,MRPL57,,,TPI1,FPGS,,HCLS1,,,SNRPB2,,DDB2,,,,,,,,,DNAJB1,,IKBKG,RNF11,,,,EID1,,ATP6V0E2,,COX20,,,SNX3,
,SP110,KATNBL1,DIAPH1,CINP,,,,,,DNMT1,,CHTOP,DCPS,HNRNPA1,CSDE1,SNRNP200,CFLAR,,OST4,DECR1,EDRF1,PSMD1,LRRFIP2,,EIF3D,GPATCH4,,,TWISTNB,MTERF4,,,TTC38,FXR1,,HINT1,,,SNRPG,,DDX46,,,,,,,,,DNAJC1,,INPP5K,RNF7,,,,EIF2AK1,,ATP8A1,,COX7A2,,,SRGN,
,SP3,KLHL28,DNAJB6,CLK4,,,,,,DOK2,,CIAO1,DECR1,HNRNPH1,CTDSP1,SRRT,CHD2,,PARP8,DMTF1,EIF1AX,PUM1,LYRM1,,EIF3L,GTF3A,,,VIM,MYL12B,,,U2SURP,FYN,,HNRNPUL2,,,SRI,,DNAJC9,,,,,,,,,DOCK8,,IREB2,RPA2,,,,EIF3H,,ATRAID,,CPD,,,SRP14,
,SPEN,KLRK1,DNAJC7,CLSTN1,,,,,,DRG2,,CKS1B,DGCR6L,HNRNPK,CTR9,SSB,CHIC2,,PCBP2,DNAJA1,EIF3D,RBM17,MAX,,EIF5A,GUK1,,,ZBTB38,NECAP2,,,VDAC1,GADD45B,,HP1BP3,,,STARD7,,DOCK11,,,,,,,,,DRAP1,,ITGB1,RPS4Y1,,,,ENY2,,ATXN10,,CPNE1,,,SRSF7,
,STARD7,LINC01138,DNM1L,CLSTN3,,,,,,DUSP1,,CLASP1,DGKQ,HSD17B11,CUTA,TGFBR3,CHURC1,,PDCD10,DNAJC15,EIF3E,RBM39,MED23,,ELF1,GZMH,,,ZNF511,NKG7,,,VDAC2,GALNT10,,IFNGR1,,,TBCB,,DPY30,,,,,,,,,DTD1,,KDM5A,RSL1D1,,,,ERO1B,,B2M,,CREB3L2,,,SSU72,
,STAU1,LMAN1,DNTTIP2,CLTB,,,,,,ECH1,,CLDND1,DHX36,IFITM1,CYLD,TMCO1,CLDND1,,PHKG2,DNTTIP2,EMC4,RHOF,MIER1,,ELK4,HAT1,,,ZYX,NORAD,,,VPS37B,GAS7,,IKBKG,,,TSC22D4,,DTNBP1,,,,,,,,,EAPP,,KDM5C,RTCA,,,,EXOSC7,,B3GAT3,,CREBBP,,,STK10,
,STK16,LRBA,DUS1L,COMMD2,,,,,,EDF1,,CLPTM1,DNAJC15,INO80E,DBI,TMEM165,CLEC2B,,PHLDA1,DOCK11,ENSA,RNASET2,MRPL33,,EOMES,HGS,,,,NSA2,,,YWHAZ,GATAD2A,,INTS10,,,UBL5,,DTYMK,,,,,,,,,EEF1A1,,KIF2A,S100B,,,,F2R,,BABAM1,,CREBRF,,,SYF2,
,STOM,LTBP3,EEF1B2,COMT,,,,,,EFHD2,,CMIP,DNPEP,ISG20L2,DCP2,TSPO,CLIC3,,PIH1D1,DOCK8,EXOC1,RNF19A,MRPL43,,ERP44,HLA-DPA1,,,,NUCKS1,,,ZBTB7A,GFOD1,,ISY1,,,UHRF2,,DUT,,,,,,,,,EEF1B2,,KIF5B,S1PR1,,,,FAM107B,,BANF1,,CREM,,,SYNJ2,
,STRIP1,MAP3K8,EFHD2,COPS3,,,,,,EIF2A,,CNIH1,DPM1,JUNB,DCTN2,UBE2N,CMPK1,,PIM3,DTD1,EZH2,RSL1D1,MRPL44,,FAM207A,HLA-DQB1,,,,OGT,,,ZFP36,GK5,,ITGAL,,,UXS1,,EEF1D,,,,,,,,,EFR3A,,KPNA4,SCNM1,,,,FCER1G,,BAX,,CSK,,,TM9SF3,
,STX16,MAT2B,EHMT1,COX14,,,,,,EIF2B2,,CNOT2,DYNLL1,KCNQ1OT1,DDIT3,WTAP,CNDP2,,POLD4,DTYMK,FAF1,SCFD1,MRPS11,,FAM3A,HMGB1,,,,PAPOLA,,,ZFP36L2,GMIP,,ITGB1,,,VDAC1,,EIF1B,,,,,,,,,EHD1,,KTI12,SDAD1,,,,FDX1,,BAZ1B,,CSNK1A1,,,TMEM109,
,SZRD1,MCRS1,EIF1,COX20,,,,,,EIF3D,,CNOT7,DYNLRB1,KDM2A,DDIT4,XIST,CNIH1,,POLR2J,DYRK1A,FAM32A,SCNM1,MRPS36,,FDPS,HMGN1,,,,PET100,,,ZNF131,GNAI2,,JADE1,,,WAC,,EIF2S2,,,,,,,,,EIF3A,,LAMTOR3,SERTAD1,,,,FKBP1A,,BCL7C,,CSNK1D,,,TNFRSF4,
,TAF13,METTL14,EIF2B1,CREM,,,,,,EIF3L,,COMTD1,ECH1,KLRK1,DDT,YME1L1,CNOT9,,POMC,DZIP3,FIS1,SF1,MYADM,,FERMT3,HNRNPA3,,,,PHKG2,,,ZNF836,GNAS,,JARID2,,,WTAP,,EIF5B,,,,,,,,,EMG1,,LASP1,SLTM,,,,FOSB,,BHLHE40,,CSNK1G2,,,TTC19,
,TAF3,MGAT4A,EIF2S3,CSGALNACT2,,,,,,EIF3M,,COPS2,EDF1,KTN1,DDX3X,ZBTB20,CNPPD1,,PPID,EID1,GATA3,SKP1,NCALD,,FGFR1OP2,HNRNPAB,,,,PLAC8,,,,GNB1,,JOSD2,,,YWHAQ,,ELOF1,,,,,,,,,EMP3,,LEPROTL1,SMARCA2,,,,FXYD5,,BMS1,,CSNK2B,,,TTC3,
,TMEM120B,MGMT,EIF3L,CSNK1D,,,,,,EIF6,,COQ7,EEF1G,LAIR1,DDX3Y,ZNF493,CNTRL,,PPP2R2B,EIF2S3,GCH1,SLC25A36,NCOR1,,FKBP1A,HNRNPDL,,,,PLEKHO1,,,,GPR108,,KCNAB2,,,ZFP91,,EML3,,,,,,,,,ENC1,,LIMS1,SPCS1,,,,GLG1,,BRD2,,CTDSP1,,,UBE2V1,
,TRIM28,MOB3A,EMD,CSNK1E,,,,,,ELF2,,CORO1A,EEF2,LATS1,DDX5,ZNF511,COA1,,PPP2R5C,EIF3M,GDI2,SMIM7,NDUFAF3,,FKBP4,HSP90B1,,,,PPIB,,,,GTF2A2,,KDM4C,,,ZMYM5,,EOMES,,,,,,,,,ENOPH1,,LINC01578,SRSF3,,,,GMIP,,BRD4,,CTNNB1,,,UQCRC2,
,UBE2J1,MRPL47,ENOPH1,CSNK1G2,,,,,,ERBB2,,CPSF6,EGR1,LINC01588,DEK,,COMMD7,,PRMT9,EIF4A1,GLRX5,SORL1,NEDD8,,FOXP1,HYOU1,,,,PPIG,,,,GTF3C1,,KRR1,,,,,EWSR1,,,,,,,,,ENTPD1-AS1,,LLPH,SRSF7,,,,GPBP1,,BRIX1,,CXXC5,,,UTP18,
,UCHL5,MRPS31,ENTPD1-AS1,CTDP1,,,,,,ERICH1,,CREBRF,EHD1,LYPLA1,DENR,,COPA,,PRSS23,EIF5A,GNG5,SRSF11,NFATC2IP,,FRY,IFI27L2,,,,PRKD2,,,,H3F3A,,KTN1,,,,,EXOC4,,,,,,,,,ERBIN,,LMNB1,SSB,,,,GSN,,BTG2,,CYB5B,,,WDR46,
,UNK,MRPS5,EP400,CYB561D2,,,,,,ERP29,,CREM,EIF2A,LYPLA2,DHRS1,,CPD,,PSMD9,EIF6,GNL3,SS18L2,NFKB2,,G3BP2,IKZF1,,,,PSMC3,,,,H3F3B,,KXD1,,,,,EXOSC6,,,,,,,,,ERGIC3,,LPGAT1,SSR2,,,,GTF2F2,,C14orf119,,CYTH1,,,WDR74,
,URI1,NAE1,ETF1,CYB5B,,,,,,ESYT2,,CRY1,EIF2B1,MAN1A2,DHRS3,,CS,,PTCH2,EMC4,GPAA1,SYNE1,NGDN,,G6PD,ILF2,,,,PUF60,,,,HDAC2,,LASP1,,,,,EZR,,,,,,,,,ERLEC1,,LUC7L2,STK17B,,,,GTF3C1,,C16orf87,,DAZAP1,,,XRN1,
,WAPL,NBEAL1,ETFA,CYTH4,,,,,,F2R,,CSNK1D,EIF3D,MAP2K2,DHX9,,CSDE1,,PTPN18,ERGIC3,GPR65,TCF25,NIFK,,GAR1,IRF7,,,,PYM1,,,,HECTD1,,LINC-PINT,,,,,FAM133B,,,,,,,,,ERV3-1,,MDM4,STMN1,,,,GZMA,,C1GALT1,,DCAF16,,,YME1L1,
,WDR45,NDUFB8,EXOSC6,DCTN3,,,,,,FAM204A,,CTR9,EIF3F,MAPRE2,DNAJB14,,CTDSP1,,RAB27B,ERH,GTF2A2,THAP1,NR4A1,,GDI2,ITGB1,,,,RAB7A,,,,HELZ,,LLGL2,,,,,FAM53C,,,,,,,,,ETS1,,ME2,SUPT16H,,,,H3F3B,,C1orf174,,DDIT4,,,ZBP1,
,WDTC1,NEK7,FAM192A,DDX39B,,,,,,FAM32A,,CTSO,EIF3H,MED17,DNAJC15,,CWC15,,RASGRP2,ERICH1,GTF3C6,TOMM20,NUDT22,,GGA1,ITPKB,,,,RNF14,,,,HNRNPA3,,LMNB1,,,,,FBXO11,,,,,,,,,EVI2A,,MED17,TAGAP,,,,HEIH,,C1orf21,,DECR1,,,ZEB2,
,WSB1,NFAT5,FASLG,DDX6,,,,,,FAM3C,,CWC15,EIF3K,MYO1F,DNAJC7,,CYFIP2,,RNF19A,EXOSC9,H2AFV,TOMM6,ORMDL2,,GLS,KHDRBS1,,,,RNF168,,,,HSPA4,,LONP2,,,,,FCGR3A,,,,,,,,,FAM122B,,MED28,THAP1,,,,HERPUD1,,C7orf50,,DENND2D,,,ZNF580,
