ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
,,,,,,POP5,,,PSEN1,,,,SPCS3,,MED6,,,,,,LIN37,,,,,,PSMB8-AS1,,,GAPVD1,,,RPSA,NAA38,,,,,,,,,,,,,,,,,LYSMD2,,PALM2-AKAP2,,OAS1,LIG3,PAFAH2,DENND3,,,,,VNN2,,,,,ZNF514,YIF1A,,,,,,,,SLC39A1,TRIM13,,DNAJA1,,,,TMEM14B,,,,,,,,,,,,,LSM6,,PLA2G6,,,,,,,,,,NAT10,KLHDC10,,,,,,,NUP107,,,,,,,,,,SDAD1,,,
,,,,,,POP7,,,PSMB10,,,,SPG21,,MEF2D,,,,,,LINC01578,,,,,,PSMD13,,,GAS5,,,RRM2,NAPA,,,,,,,,,,,,,,,,,LZIC,,PARP1,,OAS2,LIMD2,PAK1IP1,DENND4C,,,,,VPS53,,,,,ZNF605,YIPF2,,,,,,,,SLC50A1,TRIM59,,DNAJA2,,,,TMEM187,,,,,,,,,,,,,LTA,,PLAC8,,,,,,,,,,NAT9,KLHL2,,,,,,,OARD1,,,,,,,,,,SEC11C,,,
,,,,,,PPCDC,,,PSMB3,,,,SPON2,,METRNL,,,,,,LITAF,,,,,,PSMD2,,,GATAD1,,,RUVBL2,NAT9,,,,,,,,,,,,,,,,,MAF,,PARP10,,OAS3,LINC00339,PAPOLA,DENR,,,,,WAC-AS1,,,,,ZNF639,YY1,,,,,,,,SMAD2,TSC1,,DNAJB14,,,,TMEM267,,,,,,,,,,,,,LTB4R,,PLCB2,,,,,,,,,,NCOA2,KLHL22,,,,,,,OGFOD1,,,,,,,,,,SEC22B,,,
,,,,,,PPIL4,,,PSMB8,,,,SPPL2B,,METTL15,,,,,,LMF2,,,,,,PSMD7,,,GBP4,,,RWDD4,NCAPD2,,,,,,,,,,,,,,,,,MAFF,,PARP11,,OASL,LINC01138,PARP10,DERA,,,,,WDR83,,,,,ZNF714,ZBP1,,,,,,,,SMAD7,TSR2,,DNAJB2,,,,TMEM50A,,,,,,,,,,,,,LTBP4,,PLEK,,,,,,,,,,NCOA3,KLHL8,,,,,,,OGFR,,,,,,,,,,SEC22C,,,
,,,,,,PPIP5K2,,,PSMD11,,,,SPPL3,,METTL3,,,,,,LMNB1,,,,,,PSMD8,,,GDAP2,,,SAMHD1,NCKAP1L,,,,,,,,,,,,,,,,,MAFG,,PARP12,,ODC1,LMBRD1,PARP8,DERL1,,,,,WDR89,,,,,,ZBTB20,,,,,,,,SMAP2,TTC5,,DNAJB6,,,,TMEM8A,,,,,,,,,,,,,LY6E,,PLEKHF1,,,,,,,,,,NCOA4,KMT2B,,,,,,,OPTN,,,,,,,,,,SEC23B,,,
,,,,,,PPP1R10,,,PSMD9,,,,SPTSSA,,MFSD10,,,,,,LPAR5,,,,,,PSME1,,,GDE1,,,SART3,NCOA6,,,,,,,,,,,,,,,,,MAGOH,,PARP14,,OGFR,LMF2,PARVB,DESI1,,,,,WEE1,,,,,,ZBTB7B,,,,,,,,SMG7,TTF1,,DNAJC1,,,,TMEM9,,,,,,,,,,,,,LYN,,PLEKHG3,,,,,,,,,,NCSTN,KMT2C,,,,,,,ORMDL1,,,,,,,,,,SEC61B,,,
,,,,,,PPP1R11,,,PSME1,,,,SREK1,,MFSD14C,,,,,,LPCAT4,,,,,,PSME2,,,GDF11,,,SCAPER,NCSTN,,,,,,,,,,,,,,,,,MALSU1,,PARP4,,ORAI2,LMNA,PARVG,DHRS3,,,,,WIPI2,,,,,,ZDHHC2,,,,,,,,SMNDC1,TUBA1A,,DNAJC15,,,,TMOD3,,,,,,,,,,,,,LYPLA2,,PLEKHO2,,,,,,,,,,NDUFA13,KMT2E,,,,,,,OSBP,,,,,,,,,,SECISBP2L,,,
,,,,,,PPP1R15B,,,PSMF1,,,,SRP14,,MGA,,,,,,LPIN2,,,,,,PTBP1,,,GFOD1,,,SDF2,NDUFA13,,,,,,,,,,,,,,,,,MAP3K7,,PARP9,,OSBPL5,LPCAT3,PCBP1,DHRS7,,,,,WNK1,,,,,,ZDHHC21,,,,,,,,SND1,TUBA1C,,DNAJC19,,,,TMSB4X,,,,,,,,,,,,,LYSMD2,,PLIN2,,,,,,,,,,NDUFA4,KMT2E-AS1,,,,,,,OSTM1,,,,,,,,,,SEL1L,,,
,,,,,,PPP1R35,,,PTDSS1,,,,SRP72,,MGEA5,,,,,,LRCH1,,,,,,PTCH2,,,GGA2,,,SDHC,NDUFA6,,,,,,,,,,,,,,,,,MAP3K8,,PBXIP1,,OSBPL9,LPCAT4,PCF11,DHX30,,,,,WWOX,,,,,,ZFP36,,,,,,,,SNHG15,TUBB4B,,DNAJC3,,,,TMX4,,,,,,,,,,,,,LZIC,,PLRG1,,,,,,,,,,NDUFB1,KMT5A,,,,,,,OXR1,,,,,,,,,,SEPHS2,,,
,,,,,,PPP2CA,,,PTGDS,,,,SRSF4,,MIA3,,,,,,LRP12,,,,,,PTGDR,,,GHITM,,,SEC13,NDUFA7,,,,,,,,,,,,,,,,,MAPK1IP1L,,PCBD2,,P2RX7,LPXN,PCGF5,DHX36,,,,,WWP1,,,,,,ZFP62,,,,,,,,SNHG16,TUBGCP2,,DNAJC4,,,,TNFSF9,,,,,,,,,,,,,MAEA,,POFUT2,,,,,,,,,,NDUFB3,KMT5B,,,,,,,PA2G4,,,,,,,,,,SERBP1,,,
,,,,,,PPP4C,,,PTK2B,,,,SRSF7,,MIER1,,,,,,LRPAP1,,,,,,PTPN11,,,GIGYF1,,,SEC23B,NDUFB1,,,,,,,,,,,,,,,,,MAPK8,,PCBP1,,P2RY11,LRR1,PCIF1,DHX9,,,,,WWP2,,,,,,ZFYVE16,,,,,,,,SNHG8,TXN2,,DNAJC5,,,,TOB1,,,,,,,,,,,,,MAF,,POLDIP3,,,,,,,,,,NDUFB7,KPNA3,,,,,,,PABPC1,,,,,,,,,,SERGEF,,,
,,,,,,PPTC7,,,PTMS,,,,SSBP1,,MIF,,,,,,LRRC37B,,,,,,PTPN12,,,GIMAP4,,,SEC61A1,NDUFB2,,,,,,,,,,,,,,,,,MAPKAP1,,PCNX2,,PA2G4,LRRC47,PCMT1,DIAPH2,,,,,XIAP,,,,,,ZMAT2,,,,,,,,SNX10,UBA1,,DNAJC7,,,,TOP1,,,,,,,,,,,,,MAF1,,POLR3E,,,,,,,,,,NDUFC1,KPNA4,,,,,,,PABPN1,,,,,,,,,,SERP1,,,
,,,,,,PRADC1,,,PTRH1,,,,SSR1,,MIR210HG,,,,,,LRRC41,,,,,,PTPN6,,,GIMAP5,,,SELL,NDUFS8,,,,,,,,,,,,,,,,,MAPRE2,,PCYT2,,PACSIN2,LRRCC1,PDE4B,DLD,,,,,XPO1,,,,,,ZNF302,,,,,,,,SNX13,UBA2,,DNMT3A,,,,TOR1A,,,,,,,,,,,,,MAGEF1,,POM121,,,,,,,,,,NDUFS2,KRAS,,,,,,,PACS1,,,,,,,,,,SERPINB6,,,
,,,,,,PRDM4,,,PUS10,,,,SSR2,,MOB4,,,,,,LRRC8A,,,,,,PTPRCAP,,,GIMAP7,,,SEPT9,NDUFV1,,,,,,,,,,,,,,,,,MAT2B,,PDCD11,,PAK2,LRWD1,PDIA4,DLEU2,,,,,XPOT,,,,,,ZNF337,,,,,,,,SNX5,UBE3A,,DNPEP,,,,TRAF2,,,,,,,,,,,,,MAGOH,,POMP,,,,,,,,,,NDUFS3,KTN1,,,,,,,PAIP1,,,,,,,,,,SF3A1,,,
,,,,,,PRKAR2A,,,RAB27A,,,,SSR3,,MORF4L2,,,,,,LSG1,,,,,,PTTG1,,,GK5,,,SERPINB1,NECAP2,,,,,,,,,,,,,,,,,MBD2,,PDCD4,,PALM2-AKAP2,LSM8,PDPR,DLGAP4,,,,,YES1,,,,,,ZNF586,,,,,,,,SNX9,UBL7-AS1,,DNPH1,,,,TRAPPC10,,,,,,,,,,,,,MALSU1,,POP7,,,,,,,,,,NDUFS5,L3MBTL3,,,,,,,PAK1,,,,,,,,,,SIGLEC7,,,
,,,,,,PRKCB,,,RAB4B,,,,STK24,,MPG,,,,,,LSM14A,,,,,,PUM2,,,GLRX5,,,SETD1B,NEK1,,,,,,,,,,,,,,,,,MBD5,,PDCD6,,PARG,LSP1,PEF1,DMTF1,,,,,YIPF1,,,,,,ZNF611,,,,,,,,SP2,UBQLN1,,DNTTIP2,,,,TRIM14,,,,,,,,,,,,,MAP3K11,,PPAN,,,,,,,,,,NEDD8,LAMP1,,,,,,,PAM16,,,,,,,,,,SIPA1,,,
,,,,,,PRKCD,,,RAB7A,,,,STK38L,,MRPL13,,,,,,LTN1,,,,,,PVT1,,,GNA13,,,SF1,NEK9,,,,,,,,,,,,,,,,,MBNL1,,PDE4DIP,,PARP1,LTN1,PET100,DMWD,,,,,YY1,,,,,,ZNF641,,,,,,,,SPEN,UBR3,,DOCK11,,,,TRIM26,,,,,,,,,,,,,MAP4,,PPIA,,,,,,,,,,NELFE,LEMD3,,,,,,,PAN3,,,,,,,,,,SKP2,,,
,,,,,,PRKCI,,,RABAC1,,,,STOML2,,MRPL15,,,,,,LYAR,,,,,,PXK,,,GNAI2,,,SF3A1,NFATC2IP,,,,,,,,,,,,,,,,,MCPH1,,PDIA3,,PARP10,LY6E,PFN1,DNAJA1,,,,,ZBED4,,,,,,ZNF646,,,,,,,,SPON1,UCHL5,,DOHH,,,,TRIM37,,,,,,,,,,,,,MARK4,,PPID,,,,,,,,,,NFATC2IP,LFNG,,,,,,,PARP8,,,,,,,,,,SLC25A38,,,
,,,,,,PRKCSH,,,RABEP2,,,,STRBP,,MRPL2,,,,,,LYN,,,,,,PYCARD,,,GNAS,,,SF3A2,NFE2L2,,,,,,,,,,,,,,,,,MCRIP1,,PDK2,,PARP12,LYPLA1,PGGT1B,DNAJA2,,,,,ZBTB1,,,,,,ZNF766,,,,,,,,SPPL2A,UCP2,,DOT1L,,,,TRIM41,,,,,,,,,,,,,MAST3,,PPIE,,,,,,,,,,NFYA,LIN37,,,,,,,PARP9,,,,,,,,,,SLC25A45,,,
,,,,,,PRKDC,,,RABEPK,,,,SUB1,,MRPL47,,,,,,LYRM7,,,,,,PYCR2,,,GNG10,,,SH2D1B,NFKBIB,,,,,,,,,,,,,,,,,MDM2,,PDZD11,,PARP14,LYPLA2,PGS1,DNAJB14,,,,,ZBTB11,,,,,,ZRSR2,,,,,,,,SPTY2D1,UHRF2,,DPF2,,,,TRIM8,,,,,,,,,,,,,MAT2B,,PPM1G,,,,,,,,,,NIFK,LIN7C,,,,,,,PARVB,,,,,,,,,,SLC30A6,,,
,,,,,,PRPF31,,,RABL2B,,,,SULF2,,MRPL52,,,,,,LYSMD3,,,,,,PYURF,,,GNG5,,,SH3BP1,NFKBIZ,,,,,,,,,,,,,,,,,MDM4,,PEF1,,PARP9,LYRM1,PHF1,DNAJB2,,,,,ZBTB22,,,,,,ZSWIM8,,,,,,,,SQSTM1,UNG,,DPH3,,,,TRIP12,,,,,,,,,,,,,MCL1,,PPP1CA,,,,,,,,,,NIPA2,LLPH,,,,,,,PARVG,,,,,,,,,,SLC35A1,,,
,,,,,,PRPF4B,,,RAI1,,,,SUMF2,,MRPL55,,,,,,LYST,,,,,,RAB11FIP4,,,GNL2,,,SH3BP2,NFYA,,,,,,,,,,,,,,,,,MED10,,PEPD,,PAXBP1,LZTFL1,PHLDA1,DNAJB6,,,,,ZBTB40,,,,,,,,,,,,,,SRP54,UQCC2,,DPM1,,,,TRMT61B,,,,,,,,,,,,,MCM9,,PPP1R12A,,,,,,,,,,NLRC5,LNPEP,,,,,,,PAX8-AS1,,,,,,,,,,SLC35A4,,,
,,,,,,PRRC1,,,RALA,,,,SURF1,,MRPL57,,,,,,M6PR,,,,,,RAB11FIP5,,,GNPDA2,,,SH3BP5,NFYC,,,,,,,,,,,,,,,,,MED13,,PET100,,PCBP2,M6PR,PIAS4,DNAJB9,,,,,ZBTB43,,,,,,,,,,,,,,SRPRB,UQCR11,,DPM3,,,,TRNT1,,,,,,,,,,,,,MCPH1,,PPP2R5E,,,,,,,,,,NME1,LPIN2,,,,,,,PCBP1,,,,,,,,,,SLC39A9,,,
,,,,,,PSMA3-AS1,,,RALBP1,,,,SWI5,,MRPS26,,,,,,MAD2L1BP,,,,,,RAB29,,,GOLGA8B,,,SH3YL1,NHLRC2,,,,,,,,,,,,,,,,,MED19,,PEX16,,PCGF5,MAD1L1,PIBF1,DNAJC1,,,,,ZCCHC2,,,,,,,,,,,,,,SRRM2,USO1,,DPY19L1,,,,TSC1,,,,,,,,,,,,,MCTS1,,PPP4R3B,,,,,,,,,,NME7,LRBA,,,,,,,PCED1B-AS1,,,,,,,,,,SLC3A2,,,
,,,,,,PSMA5,,,RALY,,,,SYF2,,MSL2,,,,,,MAEA,,,,,,RAB37,,,GOLGB1,,,SHISA5,NHP2,,,,,,,,,,,,,,,,,MED31,,PGLS,,PCMT1,MAF1,PIGC,DNAJC10,,,,,ZCCHC3,,,,,,,,,,,,,,SRSF1,USP18,,DPY30,,,,TSPAN2,,,,,,,,,,,,,MCUR1,,PRF1,,,,,,,,,,NOC3L,LRPAP1,,,,,,,PCM1,,,,,,,,,,SLC44A1,,,
,,,,,,PSMB2,,,RAP1B,,,,SYNRG,,MTF1,,,,,,MAFG,,,,,,RAB5B,,,GOLT1B,,,SIDT1,NIPA2,,,,,,,,,,,,,,,,,MED6,,PHB,,PCMTD1,MAFF,PIGH,DNAJC11,,,,,ZCCHC9,,,,,,,,,,,,,,SRSF10,USP4,,DR1,,,,TTC39B,,,,,,,,,,,,,MED10,,PRKAR1A,,,,,,,,,,NOLC1,LRRFIP2,,,,,,,PCMTD2,,,,,,,,,,SLK,,,
,,,,,,PSMB3,,,RAP2A,,,,TADA3,,MTF2,,,,,,MAK16,,,,,,RAB9A,,,GORASP2,,,SIK2,NLRC3,,,,,,,,,,,,,,,,,METRNL,,PHF11,,PCNX2,MAGED1,PIGK,DNAJC15,,,,,ZFP36L1,,,,,,,,,,,,,,SRSF3,UTP23,,DRG2,,,,TTC5,,,,,,,,,,,,,MED21,,PRKCD,,,,,,,,,,NOP10,LSM14A,,,,,,,PCNX3,,,,,,,,,,SMAD4,,,
,,,,,,PSMB8,,,RAPGEF6,,,,TAF10,,MTRNR2L8,,,,,,MALSU1,,,,,,RALB,,,GPAT4,,,SIN3A,NME1,,,,,,,,,,,,,,,,,METTL14,,PHF21A,,PCYT1A,MAGEF1,PIGT,DNAJC21,,,,,ZFPL1,,,,,,,,,,,,,,SSH2,UTP6,,DSTN,,,,TULP3,,,,,,,,,,,,,MED4,,PRKCH,,,,,,,,,,NOSIP,LTN1,,,,,,,PCNX4,,,,,,,,,,SMG7,,,
,,,,,,PSMC6,,,RASA3,,,,TAF12,,MUL1,,,,,,MAP1LC3A,,,,,,RALY,,,GPATCH2L,,,SIRT5,NNT-AS1,,,,,,,,,,,,,,,,,METTL21A,,PIGQ,,PDCD6,MAP3K11,PIM2,DNAJC25,,,,,ZFYVE27,,,,,,,,,,,,,,ST8SIA4,VAC14,,DUS1L,,,,TXNDC17,,,,,,,,,,,,,MED6,,PRKDC,,,,,,,,,,NRAS,LUC7L3,,,,,,,PDCD4,,,,,,,,,,SMIM20,,,
,,,,,,PSMD12,,,RASAL3,,,,TAF1B,,MXD1,,,,,,MAP1LC3B,,,,,,RAN,,,GPATCH8,,,SKAP1,NOC4L,,,,,,,,,,,,,,,,,METTL6,,PINX1,,PDK2,MAP3K13,PKN1,DNAJC3,,,,,ZKSCAN1,,,,,,,,,,,,,,STAG2,VASP,,DUSP10,,,,TYW5,,,,,,,,,,,,,MED8,,PRMT2,,,,,,,,,,NRDC,LUZP1,,,,,,,PDCD7,,,,,,,,,,SMN1,,,
,,,,,,PSMD7,,,RASSF3,,,,TAPBPL,,MXRA7,,,,,,MAP3K8,,,,,,RAP1GDS1,,,GPBP1,,,SLAMF6,NOL4L,,,,,,,,,,,,,,,,,MFF,,PITPNA,,PDS5B,MAP3K7,PLAA,DNAJC30,,,,,ZMAT3,,,,,,,,,,,,,,STAMBP,VBP1,,DUSP22,,,,UBALD2,,,,,,,,,,,,,MEGF9,,PRPF39,,,,,,,,,,NSA2,LY75,,,,,,,PDE7A,,,,,,,,,,SNHG9,,,
,,,,,,PSMD8,,,RBM19,,,,TCP1,,MYH9,,,,,,MAPK1IP1L,,,,,,RASGRP1,,,GPBP1L1,,,SLC25A20,NOLC1,,,,,,,,,,,,,,,,,MFSD11,,PITPNB,,PDXP,MAP3K8,PMAIP1,DNAJC8,,,,,ZMYM2,,,,,,,,,,,,,,STARD7,VCP,,DVL3,,,,UBE2Z,,,,,,,,,,,,,METRN,,PSD4,,,,,,,,,,NSMCE1,LYN,,,,,,,PDPK1,,,,,,,,,,SNRNP70,,,
,,,,,,PSPC1,,,RBM28,,,,THAP4,,MYO9B,,,,,,MAPK6,,,,,,RB1,,,GPCPD1,,,SLC25A22,NOSIP,,,,,,,,,,,,,,,,,MFSD14B,,PLCB2,,PDZD8,MAPKAP1,PMS1,DNASE2,,,,,ZNF101,,,,,,,,,,,,,,STAT3,VPS13B,,DYNC1LI2,,,,UBN1,,,,,,,,,,,,,METTL2A,,PSEN1,,,,,,,,,,NSUN5,LZIC,,,,,,,PDS5B,,,,,,,,,,SNRPA1,,,
,,,,,,PSTPIP1,,,RBM38,,,,THEM4,,N4BP3,,,,,,MAPKAP1,,,,,,RBBP4,,,GPR132,,,SLC2A1,NPTN,,,,,,,,,,,,,,,,,MGA,,PLEK,,PECAM1,MAPRE1,PMS2,DNMT3A,,,,,ZNF143,,,,,,,,,,,,,,STAT4,VPS4B,,DYNLRB1,,,,UBN2,,,,,,,,,,,,,MFAP1,,PSMA4,,,,,,,,,,NT5C,MAEA,,,,,,,PET100,,,,,,,,,,SNX12,,,
,,,,,,PTBP1,,,RBM6,,,,THG1L,,NAA50,,,,,,MAPRE2,,,,,,RBM42,,,GPR65,,,SLC35A2,NR4A1,,,,,,,,,,,,,,,,,MGAT1,,PLEKHA3,,PEF1,MAPRE2,PMVK,DNPEP,,,,,ZNF160,,,,,,,,,,,,,,STAT5A,VRK1,,DYNLT1,,,,UBR2,,,,,,,,,,,,,MGST2,,PSMA5,,,,,,,,,,NT5C3B,MAF,,,,,,,PGK1,,,,,,,,,,SNX3,,,
,,,,,,PTCD1,,,RBM8A,,,,THOC7,,NAF1,,,,,,MARCH7,,,,,,RBM5,,,GPRIN3,,,SLC35C2,NR4A2,,,,,,,,,,,,,,,,,MGME1,,PLEKHF1,,PEX14,MARCH8,PNISR,DNPH1,,,,,ZNF226,,,,,,,,,,,,,,STAT5B,WARS,,DYNLT3,,,,UBXN6,,,,,,,,,,,,,MIATNB,,PSMA6,,,,,,,,,,NTAN1,MAGED2,,,,,,,PGM2,,,,,,,,,,SPG21,,,
,,,,,,PTGER4,,,RBMS1,,,,TIMM10,,NAGK,,,,,,MBNL1,,,,,,RBMS1,,,GRB2,,,SLC38A10,NSUN5,,,,,,,,,,,,,,,,,MGRN1,,PLP2,,PHACTR4,MARCH9,PNKD,DNTTIP1,,,,,ZNF277,,,,,,,,,,,,,,STK17B,WBP1,,DYRK1A,,,,UBXN7,,,,,,,,,,,,,MIEF1,,PSMB7,,,,,,,,,,NUCB1,MAGOH,,,,,,,PHACTR4,,,,,,,,,,SPG7,,,
,,,,,,PTPN4,,,RCSD1,,,,TIMM13,,NAMPT,,,,,,MCCC2,,,,,,RCBTB2,,,GRIPAP1,,,SLC39A4,NSUN6,,,,,,,,,,,,,,,,,MIA3,,PLSCR1,,PHAX,MATK,PNO1,DOCK8,,,,,ZNF395,,,,,,,,,,,,,,STK39,WDFY2,,DYRK2,,,,UGGT1,,,,,,,,,,,,,MIR155HG,,PSMB8,,,,,,,,,,NUDC,MANF,,,,,,,PHAX,,,,,,,,,,SPICE1,,,
,,,,,,PTS,,,RDH11,,,,TIMM23,,NAP1L1,,,,,,MCL1,,,,,,RCHY1,,,GRK5,,,SLC41A1,NUBP2,,,,,,,,,,,,,,,,,MICU2,,PMAIP1,,PHF20,MAVS,PNRC1,DPAGT1,,,,,ZNF480,,,,,,,,,,,,,,STK4,WDR48,,DYRK4,,,,UHRF1BP1L,,,,,,,,,,,,,MMGT1,,PSME2,,,,,,,,,,NUDT14,MAP1LC3B,,,,,,,PHC2,,,,,,,,,,SPIN2B,,,
,,,,,,PUF60,,,RDX,,,,TIMM8B,,NARF,,,,,,MCM3AP,,,,,,RCSD1,,,GSAP,,,SLC50A1,NUCB1,,,,,,,,,,,,,,,,,MIDN,,PNN,,PHKB,MBNL2,POLB,DPH3,,,,,ZNF506,,,,,,,,,,,,,,STX11,WDR75,,E2F3,,,,UIMC1,,,,,,,,,,,,,MOB3A,,PSMG1,,,,,,,,,,NUDT5,MAP3K4,,,,,,,PHC3,,,,,,,,,,SPPL3,,,
,,,,,,PUSL1,,,REEP5,,,,TKT,,NBEAL1,,,,,,MCPH1,,,,,,REPIN1,,,GSE1,,,SLC9A3R1,NUDC,,,,,,,,,,,,,,,,,MLEC,,PNPT1,,PIGC,MCFD2,POLR3C,DPH5,,,,,ZNF507,,,,,,,,,,,,,,STX4,XAB2,,EAPP,,,,USF2,,,,,,,,,,,,,MORC3,,PTDSS1,,,,,,,,,,NUP107,MAP3K8,,,,,,,PHF12,,,,,,,,,,SREK1IP1,,,
,,,,,,RAB11B,,,REPIN1,,,,TLE3,,NCBP2,,,,,,MDH1,,,,,,RFC4,,,GSTO1,,,SMC2,NUDT14,,,,,,,,,,,,,,,,,MLF2,,POLR3C,,PIGQ,MCM3,POU2F1,DPY30,,,,,ZNF524,,,,,,,,,,,,,,SUB1,XRCC1,,EBP,,,,USP15,,,,,,,,,,,,,MOSPD2,,PTER,,,,,,,,,,NUP155,MAP4,,,,,,,PHF23,,,,,,,,,,SRI,,,
,,,,,,RAB11FIP2,,,RFC1,,,,TLK1,,NCF1,,,,,,MDM2,,,,,,RFWD3,,,GTDC1,,,SMG5,NUDT21,,,,,,,,,,,,,,,,,MMD,,POLR3E,,PIK3C3,MCM3AP,PPIH,DR1,,,,,ZNF559,,,,,,,,,,,,,,SUPT6H,XRCC5,,ECHDC1,,,,USP3,,,,,,,,,,,,,MOV10,,PTPN1,,,,,,,,,,NUP205,MAPK1,,,,,,,PHF8,,,,,,,,,,SRP14,,,
,,,,,,RAB14,,,RGP1,,,,TM9SF2,,NCL,,,,,,ME2,,,,,,RHOA,,,GTF2A1,,,SMG7,NUDT5,,,,,,,,,,,,,,,,,MOB1A,,POMGNT1,,PINK1,MCM5,PPIL2,DRAM2,,,,,ZNF561,,,,,,,,,,,,,,SUSD6,YKT6,,ECHDC2,,,,USP7,,,,,,,,,,,,,MPLKIP,,PTPN4,,,,,,,,,,NUTF2,MAPK14,,,,,,,PHIP,,,,,,,,,,SRP19,,,
,,,,,,RAB2A,,,RIF1,,,,TMA7,,NCS1,,,,,,MED26,,,,,,RIC8A,,,GTF2F1,,,SMIM14,NUP160,,,,,,,,,,,,,,,,,MORC3,,PPIP5K2,,PISD,MCM7,PPM1L,DSTN,,,,,ZNF701,,,,,,,,,,,,,,SUZ12,YTHDC2,,ECI1,,,,VDAC3,,,,,,,,,,,,,MR1,,PTPN6,,,,,,,,,,NUTM2A-AS1,MARCH2,,,,,,,PHYKPL,,,,,,,,,,SS18L2,,,
,,,,,,RAB6A,,,RNASEH2C,,,,TMBIM6,,NDFIP1,,,,,,MED29,,,,,,RING1,,,GTF2F2,,,SMKR1,NUP205,,,,,,,,,,,,,,,,,MPG,,PPM1K,,PITPNB,MCRIP1,PPP1R10,DTD1,,,,,ZNF720,,,,,,,,,,,,,,SYPL1,YTHDF2,,ECI2,,,,VIM-AS1,,,,,,,,,,,,,MRM3,,PUF60,,,,,,,,,,OGG1,MARCH9,,,,,,,PIAS1,,,,,,,,,,SSR3,,,
,,,,,,RAD51-AS1,,,RNF121,,,,TMED2,,NDRG1,,,,,,MED9,,,,,,RINT1,,,GTF2H3,,,SMYD4,NXPE3,,,,,,,,,,,,,,,,,MPHOSPH8,,PPP1CC,,PKD1,MCRS1,PPP1R11,DTWD1,,,,,ZNF790,,,,,,,,,,,,,,SYTL3,YWHAB,,EDC4,,,,VPS11,,,,,,,,,,,,,MROH1,,PUS3,,,,,,,,,,OLA1,MARS,,,,,,,PIAS2,,,,,,,,,,SSR4,,,
,,,,,,RANBP2,,,RNF138,,,,TMED3,,NDUFA5,,,,,,METAP2,,,,,,RIOK3,,,GTPBP8,,,SNHG10,NXT1,,,,,,,,,,,,,,,,,MRFAP1,,PPP1R18,,PLCL2,MDH1,PPP1R15A,DUS1L,,,,,ZNF830,,,,,,,,,,,,,,TAB2,ZDHHC17,,EDEM1,,,,VPS33A,,,,,,,,,,,,,MRPL13,,PXK,,,,,,,,,,OST4,MAST3,,,,,,,PIAS4,,,,,,,,,,SSU72,,,
,,,,,,RARA,,,RNF149,,,,TMEM101,,NDUFAF2,,,,,,METTL15,,,,,,RITA1,,,GXYLT1,,,SNHG3,OGT,,,,,,,,,,,,,,,,,MRPL10,,PPP2R2A,,PLEC,MEA1,PPP1R15B,DUSP1,,,,,ZSCAN26,,,,,,,,,,,,,,TAF10,ZDHHC3,,EDEM3,,,,WASF2,,,,,,,,,,,,,MRPL16,,QKI,,,,,,,,,,OSTC,MBD2,,,,,,,PIGC,,,,,,,,,,STK24,,,
