ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,HSPB11,,RHOBTB3,,,,ASCC2,ZBTB43,ERP29,CDK11B,COX4I1,RNF165,,GNPTG,,,,,,ARID1B,CCDC88B,RASGRP2,COX7B,MRPS34,ARPC5L,ERBIN,CCNL1,REL,RPL23,,PIM2,CIB1,RPS15,,,,,,CD151,,ATP6V0C,RC3H1,,BSG,RPL34,CTR9,MDM4,RNF13,DBNL,OGT,TMSB10,ATF4,C5orf56,ARRB2,KLRK1,KLF3,UXT,JUND,RBMX,RPS9,,,,SOD2,MDH2,,EMP3,,DPM2,,CACYBP,,NR4A2,ARHGAP4,PPP1CC,,GIT2,FAM120A,,COX14,GTF3A,DCTN2,,COASY,,,,NCBP2,BEX2,ATG16L2,ASAH1,,CAPN1,,PHF11,,,,,,,,,COX6A1,DBI,
,,ICAM2,,RPL22,,,,ATP6AP2,ZNF451,FNIP1,CEBPB,CPNE1,SERPINB6,,IL32,,,,,,ARID4B,CCNK,RBMS1,CYB561D2,MTPN,ATG4B,FLI1,CD37,RPL13A,RPL9,,PLEKHG3,CMTM6,RPS21,,,,,,CD2BP2,,ATXN7,RGS2,,BTF3,RPS27,CUTC,MPHOSPH8,SCAPER,DDAH2,PAN3,TMSB4X,ATG12,CALM2,ASPSCR1,LDHA,KMT2E,VIM,KAT6A,RELA,SAP18,,,,TNIP1,NEAT1,,ENSA,,EBAG9,,CARHSP1,,OSTC,ARID4A,PTPRC,,GNAS,FAM133B,,COX5A,GZMH,DENND2D,,COX4I1,,,,NT5C3A,BTG3,ATG5,ASXL1,,CASP4,,PRKAR1A,,,,,,,,,COX7A2,DCTN3,
,,MAP2K3,,RPL37,,,,ATP6V0D1,,GMCL1,CEP95,DGUOK,SLC25A45,,KAT6A,,,,,,ARID5B,CD160,RFTN1,DPP7,NAXE,ATM,GPCPD1,CD63,RPL27A,RPS9,,PPP2CA,CNBP,RPS27,,,,,,CDC37,,AUP1,SNHG8,,C14orf119,RPS5,CYB561A3,MRPL10,SERINC1,DDX6,PLEKHA1,ZNF451,ATG5,CARHSP1,ATG12,MAP2K3,LRRFIP1,YWHAB,LAIR1,RSRC2,SLTM,,,,TPM4,NFATC2,,FBXW11,,EIF3G,,CBX3,,OSTF1,ARL4A,RPL10,,GTF2I,FAM49B,,CSNK1D,KLRK1,DOCK8,,COX5B,,,,PFDN2,BZW1,ATP1A1,ATF6B,,CCDC159,,PTPN12,,,,,,,,,CSNK1A1,DNAJC1,
,,MIS18BP1,,RPL39,,,,ATXN2L,,GNA13,CIRBP,DNAJB11,SMAD5,,KATNA1,,,,,,ARIH2,CD69,RNASET2,DYNC1H1,NRBP1,ATP5I,ID2,CD69,RPL36A,SARAF,,RPL15,COTL1,RPS5,,,,,,CDK11B,,B2M,SRSF7,,C19orf53,SAR1A,DDX5,MRPL43,SH2D1B,DIP2A,PRDM2,,ATP1A1,CCL5,ATG5,MGMT,LSM14A,,MAFF,SAR1A,TPR,,,,UBC,PSMB8-AS1,,FCER1G,,EIF4EBP1,,CCT2,,PAIP2,ARPC5,RPL18A,,H3F3A,FUS,,CYTH1,MCL1,DUSP2,,COX8A,,,,PPHLN1,C11orf58,ATRX,ATG101,,CCDC18-AS1,,RAP1B,,,,,,,,,CSTF2T,DYNLL1,
,,NCL,,RPL9,,,,BANF1,,GNB2,CLEC2B,DNAJC15,SPRTN,,MCM3,,,,,,ARPC5,CDK17,RPS25,ECH1,ODF2L,ATP6V1B2,IKZF1,CDIPT,RPL38,SFSWAP,,RPL6,COX17,SF3B5,,,,,,CEP78,,BIN1,STK16,,C1orf56,SERPINB6,DNAJC7,MX1,SHISA5,DNTTIP2,RDH11,,B2M,CCNH,ATP1B3,MICU2,LSM6,,MCRS1,SARS,ZAP70,,,,,RAB4B,,GOLIM4,,FAM111A,,CD2BP2,,PHF11,ARRDC1,RPLP2,,HELZ,GNG2,,CYTIP,MRPL47,EIF3I,,CTSC,,,,PRPF18,C1orf174,ATXN2,ATG4B,,CCNY,,S100A11,,,,,,,,,DARS,FTH1,
,,PDIA6,,RPS17,,,,BCLAF1,,HERC4,CMTM3,DTYMK,SREK1,,PPA2,,,,,,ARRDC2,CDK5RAP3,RTN4,EIF1AX,PCED1B-AS1,ATP6V1F,JUNB,CHD4,RPLP0,SH2B1,,TRAPPC6A,COX4I1,TSPYL1,,,,,,CLIP1,,BPTF,TMEM59,,CACUL1,SF3B3,EIF1,NGDN,SOCS1,EEF1D,RNF149,,B3GALT4,CCNI,ATP9B,MIER1,LYST,,MED6,SEC61G,ZNF292,,,,,RNASEH2B,,GRPEL1,,FOSL2,,CDK11A,,PPIL3,ASAH1,RPS27,,HERC1,HLA-A,,DAD1,MTF2,EIF5A,,DEK,,,,PRSS57,C8orf76,AURKAIP1,ATP1A1,,CCT4,,SASH3,,,,,,,,,DAZAP2,GABPB1-AS1,
,,PTTG1,,RPS20,,,,BIRC2,,IKZF1,CMTR2,EFHD2,TMEM30A,,PPP1R10,,,,,,ARRDC3,CEP164,RUNX3,EIF2S3,PNN,ATP6V1H,KCTD20,CHMP1B,RPLP2,SH3BGRL,,TRMT10C,COX7C,,,,,,,CLPP,,BTG3,TPD52,,CALM2,SMIM19,EIF3E,NKAP,SP140L,EGLN2,SLFN5,,BAZ2B,CCNK,BOD1L1,MRPL20,MBNL1,,MORF4L2,SLC2A3,,,,,,RSF1,,MED11,,FOXP1,,CDKN1B,,PPM1K,ASCC2,RPS6,,INTS6,INTS6,,EID1,NDFIP1,FAM107B,,DENR,,,,SAP18,CANX,BEND7,ATP6V0B,,CD3G,,SCAND1,,,,,,,,,DIAPH1,HAX1,
,,RB1CC1,,RPS3A,,,,BROX,,ITGB1,COMMD10,EIF1,TPGS1,,PSMB2,,,,,,ATF4,CHD1,SASH3,EIF3L,PREX1,ATRX,KLF6,CHMP3,RPRD1A,STK4,,TSPYL2,DYNLT1,,,,,,,CMTM3,,BTN3A1,TSC22D3,,CAMTA1,TAOK3,EIF3I,NUDT1,SYAP1,EIF4H,SMCR5,,BCAS2,CCNL1,BRAF,MRPL54,MRPS6,,MPG,SLCO4C1,,,,,,SAMD3,,MRPS18C,,GGA1,,CEP57,,PRR7,ATG12,RXRB,,ITGB1,ITGB2,,EIF3G,NDUFA9,FCGR3A,,DLST,,,,SCLT1,CAPN1,BIRC6,ATP6V1F,,CD53,,SDHC,,,,,,,,,DIP2A,HEXA,
,,RPS10,,RPS5,,,,BTG1,,LUC7L2,COPS6,EIF2A,TRAM1,,S1PR4,,,,,,ATM,CHURC1,SPN,EIF5B,RAP1B,AVL9,MTHFS,COX7A2,RPS27,SUPT4H1,,UFM1,EEF1A1,,,,,,,CNOT9,,BTN3A2,ZFP36L1,,CANX,TAX1BP1,EIF5,NUDT5,TGFBR3,EMP3,SSU72,,BTF3,CCT2,BRD4,NAA38,MSL2,,MRPL33,SNRPD2,,,,,,SCAMP1,,MTCH2,,GTF2I,,CHRNB1,,PTPN12,ATG5,SNHG6,,ITGB2,LAIR2,,EMC4,NONO,G3BP2,,DUT,,,,SNRNP70,CAPZB,BLOC1S4,ATRAID,,CD8A,,SH3GLB1,,,,,,,,,DNAJB9,HMGN2,
,,SMAP2,,RPSA,,,,BTN3A1,,MARCH6,CTSD,ENOPH1,UBA6,,SEC13,,,,,,ATP6V1D,CISD3,SRP72,EOMES,RBM22,B4GALT1,NAP1L1,CPSF6,RPS29,TAOK3,,USP33,EEF1D,,,,,,,COA3,,C1D,,,CAPZB,TGOLN2,EIF5A,PAFAH1B1,TMBIM4,FNBP1,TACC1,,BTG1,CD44,BTG1,NDUFA6,OSER1,,MRPS22,SPTAN1,,,,,,SHISA5,,MYDGF,,GUSB,,CIAO1,,RNF149,ATM,SNHG7,,LCOR,LUC7L3,,EPC1,OLA1,GIMAP7,,DYNC1I2,,,,SNX5,CAT,BNIP3L,B2M,,CDYL,,SMG1,,,,,,,,,EBPL,HP1BP3,
,,STAT3,,SERP1,,,,C19orf25,,MTDH,DDX19B,ENY2,ZFAND5,,SKIL,,,,,,ATR,CKLF,TMC6,ETFB,RNF19A,BABAM1,NCAM1,CTDSP1,RPS5,TMEM33,,,EID1,,,,,,,COX16,,C1orf43,,,CASP8,TPR,EIF5A2,PCED1B-AS1,TMF1,GPATCH8,TMBIM1,,C11orf58,CD53,BTG2,OGFR,PAFAH1B1,,NFKBIA,SSR2,,,,,,SLU7,,NDUFA13,,H2AFZ,,CISD3,,RORA,ATP11B,SRRM2,,MSL1,LYN,,FAM50A,PARP8,GLRX3,,EIF5B,,,,SRP9,CCDC82,BSG,B3GNT7,,CENPK,,SPON2,,,,,,,,,EIF3J,IFI16,
,,STX7,,SLC25A3,,,,CAPN2,,NAPA,DENND1C,ERGIC3,ZFC3H1,,SMNDC1,,,,,,BAZ1A,CLK3,TMEM59,FAM133B,RNPS1,BAZ1A,NFE2L2,CXCR4,RPS6,TMEM59,,,EIF2A,,,,,,,DDX18,,CALM3,,,CBX5,TRAPPC1,ELOF1,PIP4K2A,TUBGCP6,GSTP1,TMEM208,,C19orf48,CHCHD2,C15orf40,OTUB1,PDIA4,,NOSIP,SYNGR1,,,,,,SNAPIN,,NDUFAF3,,HIST1H4C,,CKLF,,RPS27L,ATP1A1,SRSF5,,NASP,MAPRE1,,FAM91A1,PHPT1,GZMB,,ERICH1,,,,TKTL1,CCDC88B,C11orf58,BABAM1,,CEP250,,TLN1,,,,,,,,,ERBB2,IFITM1,
,,SVIP,,SNHG5,,,,CCDC66,,NDUFA8,DENND3,ERP44,ZFP36L2,,SNHG9,,,,,,BCL7B,COPS5,WHAMM,FAM49B,SF3B6,BNIP3L,ORMDL3,DCP1A,SAR1A,UBE2D3,,,EIF3A,,,,,,,DDX21,,CBLL1,,,CCDC167,TRAPPC5,ERICH6-AS1,POLDIP3,UBE2R2,GTF3C6,TSTD1,,C2orf74,CHMP5,C7orf26,PDCD6,PICALM,,NT5C,TADA3,,,,,,SUPT20H,,NDUFB7,,HMGN3,,CKS2,,SH2D1B,ATP6V0D1,STK4,,NKG7,MPPE1,,FBL,PIM1,IFITM1,,EZH2,,,,VEZF1,CCM2,C12orf57,BANF1,,CFAP20,,UPF2,,,,,,,,,FAR1,IGF2R,
,,TBCA,,SRSF7,,,,CCDC91,,NDUFB7,DGUOK,FAM192A,ZNF131,,SPTLC1,,,,,,BIRC6,CRELD2,YBX1,FBXO6,SLIRP,BPGM,PCBP1,DENND4A,SUMO1,UFC1,,,EIF3E,,,,,,,DDX5,,CCDC88B,,,CCDC88C,TUBA1A,ERLEC1,PPP2R5E,UBE3A,HAX1,TUBA1A,,C9orf16,CKS2,CA5B,PPP2R5C,PPP2CA,,PDE4D,UBE2D2,,,,,,TRIB2,,NFYC,,HMGN4,,CNPY2,,SHPRH,ATXN2L,TMED10,,PI4KB,MYOM2,,FNBP1,PIN4,IFITM3,,FRG1,,,,VRK3,CCND3,C16orf91,BAZ1A,,CGRRF1,,USP15,,,,,,,,,GNG5,INTS6,
,,TMEM50B,,SSRP1,,,,CCL5,,NFATC2,DHRS3,FBXO7,ZNF276,,STK17B,,,,,,BLOC1S4,CSDE1,,FDPS,SMARCB1,BTN3A2,PCGF5,DERL1,TGFBR3,USP25,,,EIF3I,,,,,,,DENND4C,,CCND2,,,CCT5,UBE2G1,FAM111A,PTPN18,VASP,HCG18,TUBA4A,,CAPN2,CNOT4,CACYBP,PSMA6,PRSS23,,PLRG1,WNK1,,,,,,TTC39B,,NRBP1,,HNRNPA3,,CRELD2,,SNRPA1,AURKAIP1,TMEM173,,PPP1R12A,NDUFS2,,GNPTAB,PPM1B,IKZF1,,GNAS,,,,WAS,CCT7,C1QBP,BSDC1,,CHST2,,ZEB2,,,,,,,,,GNL3,JTB,
,,UBE2D3,,,,,,CCM2,,OSGEP,DNAJC15,FCER1G,,,THEMIS2,,,,,,BORCS7,CSNK2B,,GABARAP,SNHG3,BZW1,PFDN5,DNAJC9,TIMM9,VASP,,,EIF4E2,,,,,,,DNMT1,,CCT4,,,CCT7,,FCGR3A,PTPRA,ZBTB38,HIST1H1C,UBA3,,CBX3,COPE,CALM2,PSMG3,RAB37,,PMAIP1,ZC3H13,,,,,,UBE2V1,,PDCD5,,HNRNPF,,CRIP1,,STRN,BAZ2A,TNFRSF1B,,PSIP1,NPM1,,GPAA1,PPP1R18,IL16,,GTF2A2,,,,YTHDC1,CD37,CAMK2G,BSG,,CIRBP,,ZFX,,,,,,,,,GZMH,JUN,
,,UBE2Q1,,,,,,CCNL1,,PHYKPL,DNAJC21,GAS5,,,TUBB,,,,,,BRWD1,CXCR4,,GNPAT,SPNS1,C11orf58,POGZ,DSTN,TM9SF3,ZBTB16,,,EMG1,,,,,,,DUSP1,,CCT7,,,CDC42,,FCMR,RASGRP1,,HMGN2,ZNF302,,CCDC115,COPS5,CBLL1,RAD1,RIF1,,PPP2R5A,ZNF331,,,,,,UCP2,,PET100,,HSPD1,,CSNK2A1,,SUPT4H1,BEX2,TRA2A,,PSMA1,PLEKHF1,,GRK6,PRDX6,IMMT,,GYPC,,,,,CD59,CANX,C11orf58,,CKS2,,,,,,,,,,,HNRNPA1,KIAA0355,
,,VDAC1,,,,,,CD2,,PLCG2,DRAM2,GATA3,,,UBE2D2,,,,,,BTG3,DCLRE1C,,GPAA1,SRSF5,C16orf54,PSEN1,DUSP1,UTP11,ZFPL1,,,ERGIC1,,,,,,,EAPP,,CERS5,,,CDK2AP2,,FNDC3B,RWDD1,,HMOX2,,,CCDC124,CORO1A,CCDC124,RBM3,RNASEH2B,,PSMB8,,,,,,,ZDHHC21,,PHB,,ICAM2,,DAD1,,TAF15,BZW1,YME1L1,,PTPN12,PNN,,HELZ2,PRKX,ISY1,,GZMB,,,,,CD7,CAP1,C16orf91,,CLPP,,,,,,,,,,,HNRNPK,KPNB1,
,,VDAC2,,,,,,CD244,,PLEKHB2,EHD1,GGA1,,,WDR33,,,,,,C17orf49,DDRGK1,,GPATCH2L,ST13,C1orf21,PSMB10,EHD4,ZFAS1,,,,ERH,,,,,,,EDF1,,CIAO1,,,CELF1,,FXYD5,SCAMP2,,HNRNPF,,,CCDC59,COX4I1,CCNI,RNF213,SCAF11,,RNF181,,,,,,,,,PPP1CA,,LMNB1,,DCAF10,,TBX21,C19orf53,ZBTB7A,,RAP1B,PPIA,,HERPUD2,PSMC6,KARS,,H1FX,,,,,CD79B,CAPN15,C1orf122,,CLSTN1,,,,,,,,,,,ID2,LGALS1,
,,ZNF207,,,,,,CD69,,PPP1R12A,EIF3E,GPS2,,,XRCC5,,,,,,C1QBP,DDT,,GTF2E2,TKTL1,C2orf49,PTGER2,EIF3D,,,,,FAM107B,,,,,,,EIF2S1,,CKS2,,,CFL1,,GAPVD1,SEC13,,HP1BP3,,,CCNI,CUTC,CD2,RPL12,SMG1,,RNF213,,,,,,,,,PSMB6,,LTV1,,DCLRE1C,,TMBIM4,C1orf174,ZNF622,,RHOG,PPP1R12A,,HEXIM1,PTPN12,KTN1,,H2AFZ,,,,,CDC73,CAPRIN1,C1orf21,,COMMD1,,,,,,,,,,,IL18R1,LRRFIP1,
,,,,,,,,CDC26,,PTS,EMC4,H1FX,,,YY1,,,,,,C1orf131,DDX46,,GTF3C1,YPEL1,C2orf68,RACK1,EIF3E,,,,,FRG1,,,,,,,EIF2S2,,CLIC1,,,CHRAC1,,GOLGB1,SERP1,,HSP90B1,,,CCNK,CXCR4,CD55,RPL15,SRSF5,,RPF1,,,,,,,,,RAB11B,,MAD2L2,,DENR,,TMEM161B-AS1,C1orf21,,,RPAP3,PSMA1,,HINT1,RAB5A,MAD1L1,,HMOX2,,,,,CDK11A,CAST,C1orf43,,COX14,,,,,,,,,,,ITGAE,MED15,
,,,,,,,,CDC37,,RAD23B,EPC1,H2AFZ,,,,,,,,,C1orf174,DNAJB14,,HIGD2A,,C6orf62,RALGDS,EIF3H,,,,,GAS5,,,,,,,ELF2,,COPS8,,,CLEC2B,,GPR108,SLFN12L,,IFI44L,,,CCZ1,CYCS,CD69,RPL19,STAG1,,RPL37,,,,,,,,,RNF115,,MANF,,DHRS3,,TRAPPC1,C4orf3,,,S100PBP,PSMD8,,HTATSF1,RAB8B,MAP4K1,,HNRNPD,,,,,CDK13,CBX5,CALCOCO2,,COX16,,,,,,,,,,,ITM2B,METTL9,
,,,,,,,,CDYL,,REV1,FAM204A,HAGH,,,,,,,,,C6orf62,DNAJB9,,HLA-E,,CA5B,RPL22,EIF3L,,,,,GATA3,,,,,,,ERICH1,,COX4I1,,,CLIC1,,GYPC,SMAD2,,IKZF1,,,CD59,DBNL,CDC37,RPL21,STIM2,,RPS25,,,,,,,,,ROMO1,,MAPK1,,DHX36,,TRIM22,CACYBP,,,SATB1,PUM2,,ID2,RBM39,METTL9,,IER2,,,,,CDK2AP2,CCDC174,CALM1,,COX8A,,,,,,,,,,,KIAA1143,MRPS26,
,,,,,,,,CELF2,,RHOG,FBL,HCG18,,,,,,,,,C9orf78,DNAJC19,,HNRNPA2B1,,CBLB,RPS8,EIF3M,,,,,GCHFR,,,,,,,FAM228B,,CREM,,,COPE,,GZMH,SMS,,IRF7,,,CD63,DDA1,CDC42,RPL24,TGFBR3,,RPS26,,,,,,,,,RPL18A,,MAPK1IP1L,,DNAJC10,,TRMT112,CALM2,,,SDCBP,PXN,,ITSN2,RBX1,NARF,,IL16,,,,,CELF1,CCDC186,CALM2,,CREB3L2,,,,,,,,,,,KLRC2,MT2A,
,,,,,,,,CEP126,,RNF6,FBXW5,HEXA,,,,,,,,,CALM1,DNAJC7,,HSP90B1,,CBX4,SMC4,ELOVL5,,,,,GLO1,,,,,,,FBXL20,,CSDE1,,,COPS5,,H2AFV,SNX15,,ISG20,,,CDC123,DDIT4,CDC42SE1,RPL28,TOPORS,,RPS7,,,,,,,,,RPL36AL,,MBP,,DNPEP,,YWHAB,CANX,,,SDHC,RAB11FIP4,,KIDINS220,RNF166,NDUFAF3,,KAT6B,,,,,CHMP1A,CCDC82,CALM3,,CSDE1,,,,,,,,,,,KLRC3,MTSS1,
,,,,,,,,CEP164,,SIVA1,GAPDH,HMGB2,,,,,,,,,CAMTA1,DNPEP,,IFITM2,,CBX5,SMC6,EXOC2,,,,,GNL2,,,,,,,FBXO7,,CSGALNACT2,,,CORO1A,,H3F3B,SP110,,JPX,,,CDC25B,DDX5,CDK13,RPL31,UBE3A,,RSL1D1,,,,,,,,,RPS24,,MECP2,,EIF1AY,,,CARD8,,,SETX,RASSF5,,LINC00623,RPS4X,NEAT1,,KIR3DL2,,,,,CHMP2A,CCL4,CAP1,,CST7,,,,,,,,,,,LGALS3,MX1,
,,,,,,,,CHD4,,SPPL2A,GGA1,HNRNPU,,,,,,,,,CARD16,DPP7,,IGBP1,,CCDC107,SRSF3,FAM98B,,,,,GORASP2,,,,,,,GAS5,,CSK,,,COX4I1,,HINT1,SRP14,,JUN,,,CDC42,DEK,CDV3,RPL34,VDAC1,,SAR1A,,,,,,,,,SDHC,,MGAT1,,EIF2S2,,,CARHSP1,,,SH3GLB1,RNF166,,LST1,RSBN1L,NME4,,LAMTOR1,,,,,CHMP3,CCL5,CAPN2,,CUTA,,,,,,,,,,,LINC00339,MYL6,
,,,,,,,,CHD9,,SRSF6,GGNBP2,HSPA5,,,,,,,,,CARHSP1,DRAP1,,ILF3,,CCDC12,STX5,FKBP1A,,,,,GRK6,,,,,,,GBP5,,CUTC,,,COX6C,,HLA-DRB5,STT3B,,KATNA1,,,CDC42SE2,DENR,CEBPZOS,RPL36,YWHAZ,,SLC30A5,,,,,,,,,SF3B6,,NAPA,,EIF3A,,,CASP10,,,SP3,RPL28,,LYST,SGF29,NOTCH1,,LDHA,,,,,CISD3,CCNL1,CAPZA1,,DARS,,,,,,,,,,,LMNB1,NACA,
,,,,,,,,CITED2,,SSR1,GHITM,IAH1,,,,,,,,,CASP10,EEA1,,IWS1,,CCDC124,SUN2,FOS,,,,,GSTP1,,,,,,,GMCL1,,CYB561A3,,,COX7A2,,HNRNPA2B1,SYTL1,,KIAA0355,,,CDIPT,DERL1,CEP57,RPL37,ZBTB44,,SMAP2,,,,,,,,,SFSWAP,,NFU1,,EIF3G,,,CASP4,,,STOM,SATB1,,MAPK1,SH3GLB1,PDCD2,,LRRFIP1,,,,,CLPTM1L,CCT2,CAPZB,,DDIT4,,,,,,,,,,,LRRFIP1,NDUFA13,
,,,,,,,,CKS1B,,STARD3NL,GPATCH8,IL10RA,,,,,,,,,CASP4,EEF1A1,,KIR2DL1,,CCDC90B,TPD52L2,FRG1,,,,,GTF3C6,,,,,,,GNPAT,,CYLD,,,COX7B,,HNRNPC,TMEM107,,KIR3DL2,,,CDK4,DHX40,CHCHD7,RPL4,ZC3H13,,SUN2,,,,,,,,,SIGIRR,,NFYB,,EIF4B,,,CAST,,,TRAM1,SPAG9,,MIB2,SPAG7,PDIA3,,MAT2B,,,,,COMMD6,CCT6A,CARHSP1,,DDX6,,,,,,,,,,,MANF,NDUFS8,
,,,,,,,,CMC1,,STXBP2,GRK6,IL2RB,,,,,,,,,CCDC174,EIF1AX,,KMT2E,,CCNI,TRAPPC2L,FYTTD1,,,,,H1FX,,,,,,,GOLGA4,,CYTH2,,,CPNE1,,HSP90AA1,TMEM138,,KLF12,,,CDYL,DNAJC4,CHFR,RPL6,ZEB2,,TERF1,,,,,,,,,SMC1A,,NIN,,ERICH1,,,CBLL1,,,UBE2E3,STAT1,,MYBL1,SRPK2,PEBP1,,MED10,,,,,COPZ1,CCZ1,CBX3,,DENND2D,,,,,,,,,,,MOB2,NME2,
,,,,,,,,COPB1,,TBC1D10C,GTF2A2,ILF2,,,,,,,,,CCDC59,EIF3E,,LRRC57,,CCNK,TSFM,GADD45B,,,,,HEXA,,,,,,,GPR65,,DAD1,,,CYB561D2,,IER2,TMEM41B,,LARP7,,,CELF2,DPP7,CHMP6,RPL7A,ZFAND6,,THUMPD3-AS1,,,,,,,,,SNHG6,,NR3C1,,ERLEC1,,,CCDC124,,,USO1,TALDO1,,NDUFB8,SUN2,PLEKHA1,,MIDN,,,,,COX8A,CD37,CCDC18-AS1,,DHRS3,,,,,,,,,,,MPC2,NONO,
,,,,,,,,CPSF6,,TMED10,GTF3C6,IRF7,,,,,,,,,CCDC88B,EIF3H,,LYST,,CCT2,VAMP2,GAS5,,,,,HINT1,,,,,,,H2AFZ,,DCLRE1C,,,CYCS,,IKBKG,UBE2E3,,LBR,,,CENPC,DPY30,CHRAC1,RPS14,ZMYM2,,TPT1,,,,,,,,,SUMO1,,NUBP2,,EXOG,,,CCDC174,,,,TUFM,,PHF5A,TAF6,PLEKHF1,,MRPL18,,,,,CRYZL1,CD63,CCDC59,,ECHDC1,,,,,,,,,,,MRPS28,PEBP1,
,,,,,,,,CSNK1A1,,TMEM9B,GYPC,KLHL18,,,,,,,,,CCL3,EIF3K,,MAST3,,CD164,YIPF4,GHITM,,,,,HLA-DPA1,,,,,,,HBA1,,DDA1,,,DAXX,,IL2RB,UHMK1,,LDHA,,,CEP126,DSTN,CKLF,RPS18,,,XIST,,,,,,,,,SYF2,,NUCB2,,F2R,,,CCDC82,,,,UBALD2,,PIGK,TCEAL8,PPP2R5E,,MRPL20,,,,,CYB5R3,CDC123,CCDC82,,EEF1B2,,,,,,,,,,,MYO1F,PNISR,
,,,,,,,,CTDP1,,TRAPPC6A,HCLS1,LAP3,,,,,,,,,CCL4L2,EIF3L,,MDM4,,CD244,ZDHHC20,GMPR2,,,,,HLA-DRB1,,,,,,,HIF1AN,,DDX19B,,,DCK,,INPP4A,UPF3A,,LMAN2,,,CFLAR,DUSP1,CLK1,RPS19,,,YWHAZ,,,,,,,,,TCERG1,,PAPOLA,,FAM111A,,,CCND3,,,,VAMP2,,PITPNC1,TRG-AS1,PSMB10,,MRPL34,,,,,DCAF11,CELF2,CCL5,,EEF1D,,,,,,,,,,,NCAM1,PPA1,
,,,,,,,,CUL5,,TRIM28,HIPK3,LINC-PINT,,,,,,,,,CCNB1IP1,EIF4A2,,MRFAP1,,CD247,,GPCPD1,,,,,HLA-E,,,,,,,HMGN2,,DGKE,,,DCTN3,,IRF1,VPS13C,,LPXN,,,CHCHD3,DUSP23,CLTC,RPS20,,,,,,,,,,,,TCP1,,PBXIP1,,FAM192A,,,CD160,,,,VAMP5,,PLAC8,VMP1,PSME1,,MRPL52,,,,,DDIT4,CEPT1,CCT2,,EFCAB14,,,,,,,,,,,NDUFA5,PPP1R15A,
,,,,,,,,CWF19L2,,TTC37,HMGN4,MACF1,,,,,,,,,CCT2,EIF4B,,MRPS18B,,CD47,,GSS,,,,,HSP90AB1,,,,,,,HNRNPUL1,,DLG1,,,DDT,,ITGB1,ZNF655,,MIEN1,,,CHD4,EIF2S2,CMSS1,RPS27,,,,,,,,,,,,TRIM56,,PCNA,,FAM50A,,,CD164,,,,XPO1,,PLEKHF1,WDR45,RAB9A,,MRPS21,,,,,DENND2D,CERS5,CCT5,,EIF2A,,,,,,,,,,,NDUFB6,PRPF38A,
,,,,,,,,DCAF11,,U2SURP,HSD17B11,MAP2K7,,,,,,,,,CCZ1,EIF6,,MRPS18C,,CD59,,HLA-DRB1,,,,,HSP90B1,,,,,,,HOXB2,,EIF1B,,,DDX21,,JOSD2,,,MRPS26,,,CHMP2A,EIF3D,CNOT4,RPS4X,,,,,,,,,,,,TSNAX,,PHF20,,FBXW5,,,CD55,,,,YWHAQ,,PNISR,ZC3HAV1,RBL2,,MRPS26,,,,,DHX38,CFAP97,CCT6A,,EIF2S3,,,,,,,,,,,NKTR,PRPF6,
