ARNTL_(+),ASCL2_(+),ATF1_(+),ATF2_(+),ATF4_(+),ATF6_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BDP1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CHD1_(+),CHURC1_(+),CREB1_(+),CREB3_(+),CREM_(+),CTCF_(+),CUX1_(+),CXXC1_(+),DDIT3_(+),DRAP1_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ3_(+),FOXN2_(+),GATA3_(+),GATAD1_(+),HIF1A_(+),HMBOX1_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),KLF6_(+),KLF9_(+),MAF_(+),MAFF_(+),MAX_(+),MAZ_(+),MECP2_(+),METTL14_(+),MTF2_(+),MXD4_(+),NFAT5_(+),NFATC2_(+),NFATC3_(+),NFE2L2_(+),NFKB1_(+),NFKB2_(+),NFYB_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),NR4A1_(+),PHF20_(+),POU2F2_(+),PRDM1_(+),PURA_(+),RAD21_(+),REL_(+),RELB_(+),RFXANK_(+),RUNX1_(+),RUNX3_(+),RXRB_(+),SATB1_(+),SIRT6_(+),SMAD2_(+),SMAD3_(+),SOX4_(+),SP3_(+),SREBF2_(+),STAT1_(+),STAT6_(+),TAF1_(+),TAF6_(+),TBX21_(+),TFDP1_(+),THAP11_(+),THRA_(+),TP53_(+),UBP1_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBED1_(+),ZBTB11_(+),ZBTB2_(+),ZBTB24_(+),ZBTB25_(+),ZBTB43_(+),ZBTB7A_(+),ZFX_(+),ZKSCAN1_(+),ZNF148_(+),ZNF160_(+),ZNF22_(+),ZNF493_(+),ZNF518A_(+),ZNF580_(+),ZNF791_(+)
,,,,,,,,MLC1,,,,,,,,,,,,,,,,SMIM4,,RSBN1,SLC35E1,,,,KHSRP,,SNHG6,SIAH2,NIFK,,,,,,,,,,,,,PPID,PTPN7,,PPIL4,,,PRKAR1A,,,JKAMP,FNBP1,,,,HNRNPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCLT1,,,,,,,,IGFBP7,NUP54,,,,,,,INPP5K,,,,,,,,SPTBN1,
,,,,,,,,MLEC,,,,,,,,,,,,,,,,SMIM7,,RSRC1,SLF1,,,,KIAA1143,,SNHG8,SKIL,NIP7,,,,,,,,,,,,,PPIE,PTPRC,,PPIP5K2,,,PRKCH,,,JMJD6,FNDC3B,,,,HNRNPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCML4,,,,,,,,IKZF3,NUTM2B-AS1,,,,,,,IREB2,,,,,,,,SPTLC1,
,,,,,,,,MMAB,,,,,,,,,,,,,,,,SNRNP200,,RWDD4,SLFN5,,,,KIF22,,SNRPA1,SKIV2L,NKTR,,,,,,,,,,,,,PPM1G,PTPRE,,PPP1CA,,,PRKD2,,,JOSD1,FOS,,,,HNRNPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDR39U1,,,,,,,,IL2RB,OAT,,,,,,,IRF9,,,,,,,,SRRM2,
,,,,,,,,MNAT1,,,,,,,,,,,,,,,,SNRPB,,SART1,SMAP2,,,,KLF11,,SNRPC,SLC25A3,NMI,,,,,,,,,,,,,PPP1CC,PTPRJ,,PPP1R12A,,,PRMT2,,,JUN,FOSB,,,,HP1BP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC11C,,,,,,,,ILF2,ODF2L,,,,,,,ISCU,,,,,,,,SSBP1,
,,,,,,,,MNT,,,,,,,,,,,,,,,,SNRPE,,SBK1,SMARCC1,,,,KLF12,,SNX14,SLC25A33,NOL11,,,,,,,,,,,,,PPP1R11,PTTG1,,PPP1R35,,,PRNP,,,JUNB,FPGS,,,,HSPA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC23A,,,,,,,,IMP3,OGT,,,,,,,ITGA4,,,,,,,,SSU72,
,,,,,,,,MOB2,,,,,,,,,,,,,,,,SNRPG,,SCAMP3,SMIM7,,,,KLHL24,,SOD1,SLC25A36,NORAD,,,,,,,,,,,,,PPP1R15B,PYCARD,,PPP2CA,,,PRPF8,,,JUND,FRYL,,,,HSPA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGSM3,,,,,,,,ING2,OLA1,,,,,,,ITGAM,,,,,,,,STAT4,
,,,,,,,,MOB4,,,,,,,,,,,,,,,,SNU13,,SCCPDH,SNAP23,,,,KLRB1,,SOD2,SLC38A1,NOTCH1,,,,,,,,,,,,,PPP1R18,RAB2A,,PPP2R5C,,,PRSS23,,,KAT5,FTH1,,,,IBTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2B1,,,,,,,,INTS10,ORAI2,,,,,,,ITGB1,,,,,,,,STK17A,
,,,,,,,,MPLKIP,,,,,,,,,,,,,,,,SNX1,,SCOC,SNRPE,,,,KLRD1,,SOX4,SLC38A2,NPRL2,,,,,,,,,,,,,PPP2R2A,RAB5C,,PPP6R1,,,PSEN1,,,KDM5A,FTL,,,,ICE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D1B,,,,,,,,ISCA1,OSBPL5,,,,,,,ITGB2,,,,,,,,STX16,
,,,,,,,,MRPL13,,,,,,,,,,,,,,,,SPON2,,SCYL2,SNU13,,,,KLRK1,,SRM,SLC5A6,NR1H2,,,,,,,,,,,,,PPP6R2,RAB7A,,PPP6R2,,,PSMA3,,,KDM6B,FTSJ1,,,,IDI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D2A,,,,,,,,ISY1,OTUB1,,,,,,,ITPR1,,,,,,,,STXBP2,
,,,,,,,,MRPL20,,,,,,,,,,,,,,,,SRP14,,SDCBP,SNX3,,,,KMT2A,,SRSF6,SLIRP,NR4A2,,,,,,,,,,,,,PSMA3,RABEP2,,PRDX6,,,PSMA4,,,KLF10,FUS,,,,IER5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP5,,,,,,,,ITFG1,OTULIN,,,,,,,IVNS1ABP,,,,,,,,STXBP3,
,,,,,,,,MRPL4,,,,,,,,,,,,,,,,SRP9,,SDR39U1,SPTY2D1,,,,KXD1,,SSBP4,SMAD3,NRDC,,,,,,,,,,,,,PSMA4,RABGAP1L,,PRKAG1,,,PSMA5,,,KLF6,FXYD5,,,,IFNAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAH2,,,,,,,,ITGB1,PAFAH1B1,,,,,,,JAK1,,,,,,,,SUMO1,
,,,,,,,,MRPL42,,,,,,,,,,,,,,,,SRSF10,,SENP2,SREBF2,,,,LAIR1,,SSR4,SMAD7,NSMCE1,,,,,,,,,,,,,PSMB3,RAC2,,PRKAR1A,,,PSMB1,,,KLHDC3,FYN,,,,IFNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIGIRR,,,,,,,,ITGB1BP1,PAFAH1B2,,,,,,,JAK3,,,,,,,,SUZ12,
,,,,,,,,MRPL57,,,,,,,,,,,,,,,,SRSF4,,SENP5,SRRM1,,,,LAT,,STARD3,SMARCC2,NTAN1,,,,,,,,,,,,,PSMB4,RAN,,PRKCB,,,PSMB4,,,KLRG1,GABARAP,,,,IFT20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIN3A,,,,,,,,ITPA,PAN3,,,,,,,JUND,,,,,,,,TAF11,
,,,,,,,,MRPS15,,,,,,,,,,,,,,,,SRSF5,,SETD5,SRSF8,,,,LBH,,STOML2,SNHG15,NUDT14,,,,,,,,,,,,,PSMC6,RANBP1,,PRKCSH,,,PSMD4,,,KLRK1,GABARAPL1,,,,IL2RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKAP1,,,,,,,,IVNS1ABP,PARK7,,,,,,,KANSL1,,,,,,,,TAF9,
,,,,,,,,MRPS31,,,,,,,,,,,,,,,,SRSF7,,SFI1,SSH2,,,,LDHB,,SUMO2,SNHG3,NUP98,,,,,,,,,,,,,PSMD9,RARS2,,PRMT1,,,PSMD6,,,KMT2E-AS1,GADD45B,,,,ILKAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A36,,,,,,,,JAK1,PARL,,,,,,,KAT6B,,,,,,,,TAX1BP1,
,,,,,,,,MSN,,,,,,,,,,,,,,,,SSBP4,,SFPQ,SSR4,,,,LENG8,,TAF1D,SNHG5,NUTM2A-AS1,,,,,,,,,,,,,PSME2,RASA2,,PRPF31,,,PSME1,,,KRCC1,GAK,,,,ING2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A45,,,,,,,,JKAMP,PARP10,,,,,,,KDM5A,,,,,,,,TC2N,
,,,,,,,,MTCH1,,,,,,,,,,,,,,,,SSR2,,SIRT7,SSU72,,,,LGALS1,,TBC1D15,SNHG8,NXT1,,,,,,,,,,,,,PTPN12,RASGRP2,,PRR7,,,PSME2,,,KRIT1,GART,,,,INO80D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC2A4RG,,,,,,,,JOSD2,PCED1B-AS1,,,,,,,KDM5C,,,,,,,,TFAM,
,,,,,,,,MTCH2,,,,,,,,,,,,,,,,SSR3,,SKIL,STX8,,,,LGALS8,,TBX21,SNHG9,OFD1,,,,,,,,,,,,,PTTG1,RB1,,PRRC2C,,,PTBP3,,,KRR1,GAS5,,,,INSIG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC44A2,,,,,,,,JTB,PEF1,,,,,,,KDM6A,,,,,,,,TGOLN2,
,,,,,,,,MTERF4,,,,,,,,,,,,,,,,ST3GAL4,,SLC16A3,STYXL1,,,,LIMD2,,TDG,SNRPD2,OLA1,,,,,,,,,,,,,PYCARD,RBM3,,PSD4,,,PTCH2,,,LAMTOR2,GATA3,,,,IP6K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC5A3,,,,,,,,JUN,PEX2,,,,,,,KIAA1143,,,,,,,,THUMPD1,
,,,,,,,,MTHFD2,,,,,,,,,,,,,,,,ST3GAL5,,SLC25A33,SUB1,,,,LINC01138,,TFDP2,SOCS3,ORMDL1,,,,,,,,,,,,,PYCR2,RBM8A,,PSMB1,,,PTPN1,,,LBH,GATAD1,,,,IRF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMAP1,,,,,,,,KAT5,PGK1,,,,,,,KIF2A,,,,,,,,TLE1,
,,,,,,,,MTPN,,,,,,,,,,,,,,,,STAT3,,SLC25A36,SUCLA2,,,,LINC01278,,TIA1,SOD1,OSBPL5,,,,,,,,,,,,,PYHIN1,RBMX,,PSMC4,,,PTPN2,,,LCK,GCHFR,,,,IRF2BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCC1,,,,,,,,KHDRBS1,PGM1,,,,,,,KIF5B,,,,,,,,TLE4,
,,,,,,,,MXD1,,,,,,,,,,,,,,,,STIM2,,SLC25A45,SUPT16H,,,,LINC01588,,TM2D1,SOD2,OSBPL8,,,,,,,,,,,,,PYM1,RER1,,PTP4A2,,,PTPN4,,,LCMT1,GHITM,,,,ISCA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMDT1,,,,,,,,KIR3DL2,PHF20,,,,,,,KIFAP3,,,,,,,,TM9SF2,
,,,,,,,,MYO1F,,,,,,,,,,,,,,,,STYXL1,,SLC38A1,SUPT3H,,,,LIPA,,TMC8,SPG21,OTUD5,,,,,,,,,,,,,PYROXD1,RGS19,,PTPN7,,,PYM1,,,LDHA,GID8,,,,ISOC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMIM12,,,,,,,,KLF6,PHPT1,,,,,,,KLF11,,,,,,,,TMC6,
,,,,,,,,MYO9B,,,,,,,,,,,,,,,,SUB1,,SLC44A2,SYMPK,,,,LITAF,,TMED10,SPOP,OXCT1,,,,,,,,,,,,,RAB11A,RHEB,,PTTG1IP,,,PYURF,,,LDLR,GIMAP2,,,,ITGB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMKR1,,,,,,,,KLRF1,PHTF1,,,,,,,KLF13,,,,,,,,TMCO1,
,,,,,,,,MYOM2,,,,,,,,,,,,,,,,SUCLG1,,SLFN5,TAGAP,,,,LLGL2,,TMEM14B,SRRM1,P4HB,,,,,,,,,,,,,RAB11FIP1,RIF1,,PUM2,,,RAB11FIP1,,,LEPROT,GLO1,,,,ITGB2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SND1,,,,,,,,KLRG1,PIGT,,,,,,,KLF2,,,,,,,,TMEM167A,
,,,,,,,,MZF1-AS1,,,,,,,,,,,,,,,,SYF2,,SLK,TAPBPL,,,,LLPH,,TMEM18,SRSF2,PABPC1,,,,,,,,,,,,,RAB22A,RING1,,PYCR2,,,RAB22A,,,LINC-PINT,GLUD1,,,,ITM2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRK,,,,,,,,KLRK1,PIK3R1,,,,,,,KLHL24,,,,,,,,TMEM181,
,,,,,,,,NAA38,,,,,,,,,,,,,,,,TADA3,,SMAD2,TERF1,,,,LMO4,,TMEM258,SRSF5,PAM,,,,,,,,,,,,,RAB6A,RIOK1,,RAB1A,,,RAC2,,,LMBRD1,GNA13,,,,ITPR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNW1,,,,,,,,KMT2E,PIN1,,,,,,,KLRK1,,,,,,,,TOMM6,
,,,,,,,,NADSYN1,,,,,,,,,,,,,,,,TAOK3,,SMARCE1,TESPA1,,,,LPCAT1,,TNFAIP8,SRSF7,PAPOLA,,,,,,,,,,,,,RAF1,RNF139,,RAC1,,,RALA,,,LMNA,GNAI2,,,,ITSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNX10,,,,,,,,KXD1,PLCL2,,,,,,,KMT2E,,,,,,,,TOP2B,
,,,,,,,,NARF,,,,,,,,,,,,,,,,TERF1,,SMIM12,TGFB1,,,,LPIN1,,TNFRSF1A,SSR3,PCF11,,,,,,,,,,,,,RALA,RNF168,,RACK1,,,RAP2B,,,LMNB1,GNAI3,,,,JAK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNX14,,,,,,,,LAMTOR4,PLD3,,,,,,,KMT2E-AS1,,,,,,,,TOR1A,
,,,,,,,,NASP,,,,,,,,,,,,,,,,TES,,SMS,TMBIM4,,,,LRP10,,TNFSF10,STIM2,PCNP,,,,,,,,,,,,,RANGRF,RNF213,,RAP1A,,,RAPGEF6,,,LMO4,GNAS,,,,JOSD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPG21,,,,,,,,LAP3,PLEC,,,,,,,KRCC1,,,,,,,,TPM3,
,,,,,,,,NCBP2,,,,,,,,,,,,,,,,TFG,,SND1,TMEM14C,,,,LRPAP1,,TNIK,STK17A,PCNX1,,,,,,,,,,,,,RASGRP1,RPF1,,RARS2,,,RARS,,,LPXN,GNL1,,,,JPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPON2,,,,,,,,LARP7,PLGRKT,,,,,,,LAMTOR3,,,,,,,,TRANK1,
,,,,,,,,NCKAP1L,,,,,,,,,,,,,,,,THEM4,,SNHG16,TMEM242,,,,LRRC41,,TOMM20,STK17B,PDAP1,,,,,,,,,,,,,RASSF1,RPL39L,,RASGRP2,,,RASSF1,,,LRCH3,GNPDA2,,,,KANSL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPPL3,,,,,,,,LAS1L,PMVK,,,,,,,LAMTOR4,,,,,,,,TRIM11,
,,,,,,,,NCL,,,,,,,,,,,,,,,,THOC7,,SNRPF,TMEM70,,,,LRRC57,,TOMM22,STRAP,PDCD2,,,,,,,,,,,,,RASSF5,RPN1,,RASSF1,,,RASSF7,,,LRIF1,GNPTAB,,,,KAT6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPTBN1,,,,,,,,LDHA,PNKD,,,,,,,LAPTM4A,,,,,,,,TRIM44,
,,,,,,,,NDUFB4,,,,,,,,,,,,,,,,TIMM17B,,SNX10,TMIGD2,,,,LSM1,,TP53TG1,STX17,PDS5A,,,,,,,,,,,,,RBM23,RPS19BP1,,RASSF5,,,RBCK1,,,LRRC57,GOLGA7,,,,KCTD20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS18,,,,,,,,LDHB,PNPLA2,,,,,,,LAPTM5,,,,,,,,TRMT10C,
,,,,,,,,NDUFB6,,,,,,,,,,,,,,,,TIMM44,,SOCS1,TMSB10,,,,LSM2,,TPT1,SUB1,PDXDC1,,,,,,,,,,,,,RC3H2,RPS5,,RBL2,,,RBM3,,,LRRFIP1,GOPC,,,,KDM2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSBP4,,,,,,,,LDLR,POLK,,,,,,,LARP7,,,,,,,,TSSC4,
,,,,,,,,NDUFB8,,,,,,,,,,,,,,,,TKT,,SPATA13,TMUB1,,,,LSP1,,TRAPPC2L,SURF1,PFKP,,,,,,,,,,,,,REST,RRP15,,RBM3,,,RBM4,,,LSM3,GORASP2,,,,KDM5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAU1,,,,,,,,LETMD1,POLR2C,,,,,,,LASP1,,,,,,,,TTC19,
,,,,,,,,NDUFS3,,,,,,,,,,,,,,,,TMEM199,,SPN,TOLLIP,,,,LUC7L,,TRAPPC3,SYNGR2,PGK1,,,,,,,,,,,,,RHOC,RSL24D1,,RBM38,,,RBX1,,,LUC7L2,GPBP1L1,,,,KDM6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STK26,,,,,,,,LIG1,POLR2G,,,,,,,LBH,,,,,,,,TTC28-AS1,
,,,,,,,,NDUFV1,,,,,,,,,,,,,,,,TMEM248,,SPPL3,TPD52L2,,,,LUC7L2,,TRAPPC6A,TACC1,PGM1,,,,,,,,,,,,,RHOF,SAP18,,RBM8A,,,REEP5,,,MAD1L1,GPR108,,,,KHDRBS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOM,,,,,,,,LIMS1,POP4,,,,,,,LCK,,,,,,,,TXNDC9,
,,,,,,,,NFE2L2,,,,,,,,,,,,,,,,TMEM33,,SPRTN,TRA2A,,,,LUC7L3,,TRIP11,TAF13,PHACTR4,,,,,,,,,,,,,RIN3,SCFD1,,RCE1,,,RGS14,,,MAFF,GPR65,,,,KIAA0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRN,,,,,,,,LINC01578,POP5,,,,,,,LDHA,,,,,,,,TXNL1,
,,,,,,,,NFYB,,,,,,,,,,,,,,,,TMEM59,,SPTLC1,TRAPPC1,,,,LY6E,,TSC22D3,TAF1D,PHAX,,,,,,,,,,,,,RIOK1,SDCBP,,RGS1,,,RHBDD2,,,MAGOH,GPX4,,,,KIF5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUMO3,,,,,,,,LMAN2,POP7,,,,,,,LENG8,,,,,,,,UBA2,
,,,,,,,,NFYC,,,,,,,,,,,,,,,,TMSB4X,,SRGN,TRG-AS1,,,,LYRM1,,TTC19,TAF7,PHLDA1,,,,,,,,,,,,,RNF213,SDHAF3,,RGS19,,,RHBDF2,,,MAN1A2,GRAP2,,,,KLF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUN2,,,,,,,,LMNB1,PPID,,,,,,,LIMD2,,,,,,,,UBAC2,
,,,,,,,,NNT,,,,,,,,,,,,,,,,TNIP1,,SRP54,TRIM22,,,,LYST,,TUBA1A,TBC1D15,PHTF1,,,,,,,,,,,,,RNF26,SDHB,,RHOC,,,RHOC,,,MAN1B1,GRK2,,,,KLF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYK,,,,,,,,LMO4,PPM1G,,,,,,,LIMS1,,,,,,,,UBB,
,,,,,,,,NOL10,,,,,,,,,,,,,,,,TNIP2,,SRSF10,TRPM7,,,,MAGOH,,TWF2,TBCA,PIH1D1,,,,,,,,,,,,,RNPS1,SERF2,,RHOF,,,RICTOR,,,MAN2C1,GSAP,,,,KLHDC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNE1,,,,,,,,LPCAT1,PPP1CC,,,,,,,LINC00667,,,,,,,,UBE2J2,
,,,,,,,,NOSIP,,,,,,,,,,,,,,,,TOMM22,,SSBP4,TSEN15,,,,MAP1LC3B,,TXNIP,TBL1XR1,PLEKHF2,,,,,,,,,,,,,ROCK1,SERP1,,RNASEK,,,RIOK1,,,MAPK1IP1L,GSK3B,,,,KLHL24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYPL1,,,,,,,,LRCH3,PPP1R11,,,,,,,LINC01578,,,,,,,,UBE2Q1,
,,,,,,,,NPAT,,,,,,,,,,,,,,,,TOMM5,,ST3GAL4,TTC1,,,,MAP2K2,,U2AF2,TBPL1,PLGRKT,,,,,,,,,,,,,RPL10,SERTAD3,,RNF10,,,RIT1,,,MAPKAPK3,GSN,,,,KLRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF12,,,,,,,,LRP10,PPP1R12A,,,,,,,LMAN1,,,,,,,,UBE2R2,
,,,,,,,,NPTN,,,,,,,,,,,,,,,,TOP2B,,STAT1,TTC14,,,,MAP4K5,,UBC,TCEA1,PMAIP1,,,,,,,,,,,,,RPL22L1,SF3A3,,RNF139,,,RNF14,,,MAPRE1,GSTK1,,,,KMT2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAGAP,,,,,,,,LRRC59,PPP2CA,,,,,,,LNPEP,,,,,,,,UBQLN1,
,,,,,,,,NR4A1,,,,,,,,,,,,,,,,TPM3,,STAT4,TTC19,,,,MAP7D1,,UBR2,TGIF1,PNPLA8,,,,,,,,,,,,,RPL26L1,SF3B5,,RNF181,,,RNF213,,,MARK2,GSTP1,,,,KPNA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TANGO2,,,,,,,,LRRFIP1,PPP2R1A,,,,,,,LPIN1,,,,,,,,UPP1,
,,,,,,,,NR4A2,,,,,,,,,,,,,,,,TPST2,,STIM2,TTC28-AS1,,,,MAPK1,,UQCR10,THAP12,POLDIP2,,,,,,,,,,,,,RPP30,SFXN1,,RNF213,,,RNF26,,,MAT2A,GYG1,,,,KPNA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX1BP1,,,,,,,,LSM14A,PPP3CB,,,,,,,LRCH4,,,,,,,,UQCC2,
,,,,,,,,NRBF2,,,,,,,,,,,,,,,,TRAPPC1,,STK17A,TUSC2,,,,MAPKAPK5,,VMP1,THOC7,POLR2A,,,,,,,,,,,,,RPS5,SHKBP1,,RNF4,,,RNPS1,,,MBNL1,GYPC,,,,LAMTOR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBL1XR1,,,,,,,,LSM3,PPP4C,,,,,,,LRRFIP2,,,,,,,,UQCR11,
,,,,,,,,NRDC,,,,,,,,,,,,,,,,TRAPPC5,,STOML2,TXN2,,,,MATK,,WBP1,TIMM13,POLR2H,,,,,,,,,,,,,RRP1,SLC25A11,,RNMT,,,ROCK1,,,MBP,GZMH,,,,LCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBRG1,,,,,,,,LSM5,PPP4R3A,,,,,,,LSM2,,,,,,,,UQCRC1,
,,,,,,,,NRROS,,,,,,,,,,,,,,,,TRAPPC6A,,STRAP,UBE2F,,,,ME2,,WDFY1,TLE4,POLR2J3,,,,,,,,,,,,,RSRP1,SLC25A26,,RNPEPL1,,,RPL26L1,,,MCL1,H1FX,,,,LEPROTL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC2N,,,,,,,,LSM8,PPP4R3B,,,,,,,LYN,,,,,,,,UQCRQ,
,,,,,,,,NSD1,,,,,,,,,,,,,,,,TRMT112,,STX16,UBE2I,,,,MEAF6,,WDFY2,TMBIM1,POLR2K,,,,,,,,,,,,,RTF1,SLC35E1,,RNPS1,,,RPS4Y1,,,MCRS1,H2AFJ,,,,LIMS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TDG,,,,,,,,LUC7L2,PQBP1,,,,,,,M6PR,,,,,,,,UROS,
,,,,,,,,NT5C3A,,,,,,,,,,,,,,,,TTC14,,STX7,UBE2J2,,,,MED19,,XRN1,TMEM107,PPA2,,,,,,,,,,,,,RUVBL2,SLC9A3R1,,RPIA,,,RPS6KA1,,,MDH1,H2AFX,,,,LINC-PINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TINF2,,,,,,,,LYN,PRKCH,,,,,,,MAD1L1,,,,,,,,USP33,
,,,,,,,,NTMT1,,,,,,,,,,,,,,,,TTC19,,STYX,UBE2R2,,,,METRNL,,YBEY,TMEM11,PPID,,,,,,,,,,,,,S100A9,SLIRP,,RPL10,,,RRAGA,,,MED19,H3F3B,,,,LINC01578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLE1,,,,,,,,M6PR,PRMT1,,,,,,,MAF,,,,,,,,UTP18,
,,,,,,,,NUDCD3,,,,,,,,,,,,,,,,TXNRD1,,SUMF2,UBLCP1,,,,METTL14,,YIPF1,TMEM126A,PPP1CA,,,,,,,,,,,,,SAT1,SLU7,,RPL11,,,RUNX3,,,MED30,HBP1,,,,LITAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMBIM1,,,,,,,,MAEA,PRPS1,,,,,,,MAGOH,,,,,,,,VAMP2,
